"reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
"2026-04-04","Flu ED visits pct",0,"2026-04-04","athens","quantile",0.025,0
"2026-04-04","Flu ED visits pct",0,"2026-04-04","athens","quantile",0.05,0
"2026-04-04","Flu ED visits pct",0,"2026-04-04","athens","quantile",0.1,0
"2026-04-04","Flu ED visits pct",0,"2026-04-04","athens","quantile",0.25,0
"2026-04-04","Flu ED visits pct",0,"2026-04-04","athens","quantile",0.5,0
"2026-04-04","Flu ED visits pct",0,"2026-04-04","athens","quantile",0.75,0
"2026-04-04","Flu ED visits pct",0,"2026-04-04","athens","quantile",0.9,0
"2026-04-04","Flu ED visits pct",0,"2026-04-04","athens","quantile",0.95,0
"2026-04-04","Flu ED visits pct",0,"2026-04-04","athens","quantile",0.975,0
"2026-04-04","Flu ED visits pct",1,"2026-04-11","athens","quantile",0.025,0
"2026-04-04","Flu ED visits pct",1,"2026-04-11","athens","quantile",0.05,0
"2026-04-04","Flu ED visits pct",1,"2026-04-11","athens","quantile",0.1,0
"2026-04-04","Flu ED visits pct",1,"2026-04-11","athens","quantile",0.25,0
"2026-04-04","Flu ED visits pct",1,"2026-04-11","athens","quantile",0.5,0
"2026-04-04","Flu ED visits pct",1,"2026-04-11","athens","quantile",0.75,0
"2026-04-04","Flu ED visits pct",1,"2026-04-11","athens","quantile",0.9,0
"2026-04-04","Flu ED visits pct",1,"2026-04-11","athens","quantile",0.95,0
"2026-04-04","Flu ED visits pct",1,"2026-04-11","athens","quantile",0.975,0
"2026-04-04","Flu ED visits pct",2,"2026-04-18","athens","quantile",0.025,0
"2026-04-04","Flu ED visits pct",2,"2026-04-18","athens","quantile",0.05,0
"2026-04-04","Flu ED visits pct",2,"2026-04-18","athens","quantile",0.1,0
"2026-04-04","Flu ED visits pct",2,"2026-04-18","athens","quantile",0.25,0
"2026-04-04","Flu ED visits pct",2,"2026-04-18","athens","quantile",0.5,0
"2026-04-04","Flu ED visits pct",2,"2026-04-18","athens","quantile",0.75,0
"2026-04-04","Flu ED visits pct",2,"2026-04-18","athens","quantile",0.9,0
"2026-04-04","Flu ED visits pct",2,"2026-04-18","athens","quantile",0.95,0
