"reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
2026-04-25,"Flu ED visits pct",0,2026-04-25,"athens","quantile",0.025,0
2026-04-25,"Flu ED visits pct",0,2026-04-25,"athens","quantile",0.05,0
2026-04-25,"Flu ED visits pct",0,2026-04-25,"athens","quantile",0.1,0
2026-04-25,"Flu ED visits pct",0,2026-04-25,"athens","quantile",0.25,0.0832041777096934
2026-04-25,"Flu ED visits pct",0,2026-04-25,"athens","quantile",0.5,0.324245969493952
2026-04-25,"Flu ED visits pct",0,2026-04-25,"athens","quantile",0.75,0.530726101995589
2026-04-25,"Flu ED visits pct",0,2026-04-25,"athens","quantile",0.9,0.749314040920989
2026-04-25,"Flu ED visits pct",0,2026-04-25,"athens","quantile",0.95,0.945736158821236
2026-04-25,"Flu ED visits pct",0,2026-04-25,"athens","quantile",0.975,1.16584380580837
2026-04-25,"Flu ED visits pct",0,2026-04-25,"austin","quantile",0.025,0
2026-04-25,"Flu ED visits pct",0,2026-04-25,"austin","quantile",0.05,0
2026-04-25,"Flu ED visits pct",0,2026-04-25,"austin","quantile",0.1,0
2026-04-25,"Flu ED visits pct",0,2026-04-25,"austin","quantile",0.25,0.00721875388647172
2026-04-25,"Flu ED visits pct",0,2026-04-25,"austin","quantile",0.5,0.177770355905806
2026-04-25,"Flu ED visits pct",0,2026-04-25,"austin","quantile",0.75,0.339369501652493
2026-04-25,"Flu ED visits pct",0,2026-04-25,"austin","quantile",0.9,0.530399888538538
2026-04-25,"Flu ED visits pct",0,2026-04-25,"austin","quantile",0.95,0.686006348925945
2026-04-25,"Flu ED visits pct",0,2026-04-25,"austin","quantile",0.975,0.82518762323484
2026-04-25,"Flu ED visits pct",0,2026-04-25,"baltimore","quantile",0.025,0
2026-04-25,"Flu ED visits pct",0,2026-04-25,"baltimore","quantile",0.05,0
2026-04-25,"Flu ED visits pct",0,2026-04-25,"baltimore","quantile",0.1,0
2026-04-25,"Flu ED visits pct",0,2026-04-25,"baltimore","quantile",0.25,0.0637725739126393
2026-04-25,"Flu ED visits pct",0,2026-04-25,"baltimore","quantile",0.5,0.248847653282235
2026-04-25,"Flu ED visits pct",0,2026-04-25,"baltimore","quantile",0.75,0.427803703405193
2026-04-25,"Flu ED visits pct",0,2026-04-25,"baltimore","quantile",0.9,0.63098289589412
2026-04-25,"Flu ED visits pct",0,2026-04-25,"baltimore","quantile",0.95,0.829643621778817
2026-04-25,"Flu ED visits pct",0,2026-04-25,"baltimore","quantile",0.975,1.04449535630807
2026-04-25,"Flu ED visits pct",0,2026-04-25,"bangor","quantile",0.025,0
2026-04-25,"Flu ED visits pct",0,2026-04-25,"bangor","quantile",0.05,0
2026-04-25,"Flu ED visits pct",0,2026-04-25,"bangor","quantile",0.1,0
2026-04-25,"Flu ED visits pct",0,2026-04-25,"bangor","quantile",0.25,0.152878232893611
2026-04-25,"Flu ED visits pct",0,2026-04-25,"bangor","quantile",0.5,0.428659410486955
2026-04-25,"Flu ED visits pct",0,2026-04-25,"bangor","quantile",0.75,0.74232932269698
