Week Ending Date,Region,Definition Count,Total ED Visits,Percentage Of Total ED Visits,
1/10/09,1 NENC,9,9980,0.09%,
1/10/09,2 SENC,2,5675,0.04%,
1/10/09,3 FAY AREA,28,11419,0.25%,
1/10/09,4 RTP AREA,16,12279,0.13%,
1/10/09,5 TRIAD AREA,19,14579,0.13%,
1/10/09,6 WNC,2,8088,0.02%,
1/10/09,7 CLT AREA,33,15991,0.21%,
1/17/09,1 NENC,9,9096,0.10%,
1/17/09,2 SENC,4,5209,0.08%,
1/17/09,3 FAY AREA,23,10903,0.21%,
1/17/09,4 RTP AREA,15,11379,0.13%,
1/17/09,5 TRIAD AREA,24,13115,0.18%,
1/17/09,6 WNC,3,6711,0.04%,
1/17/09,7 CLT AREA,12,10164,0.12%,
1/24/09,1 NENC,16,9100,0.18%,
1/24/09,2 SENC,6,5540,0.11%,
1/24/09,3 FAY AREA,28,11027,0.25%,
1/24/09,4 RTP AREA,11,11585,0.09%,
1/24/09,5 TRIAD AREA,38,13484,0.28%,
1/24/09,6 WNC,4,6777,0.06%,
1/24/09,7 CLT AREA,8,10401,0.08%,
1/31/09,1 NENC,20,9094,0.22%,
1/31/09,2 SENC,11,5377,0.20%,
1/31/09,3 FAY AREA,25,10918,0.23%,
1/31/09,4 RTP AREA,23,11694,0.20%,
1/31/09,5 TRIAD AREA,54,13989,0.39%,
1/31/09,6 WNC,8,7532,0.11%,
1/31/09,7 CLT AREA,16,11755,0.14%,
2/7/09,1 NENC,33,9439,0.35%,
2/7/09,2 SENC,12,5345,0.22%,
2/7/09,3 FAY AREA,37,10935,0.34%,
2/7/09,4 RTP AREA,35,11533,0.30%,
2/7/09,5 TRIAD AREA,85,13785,0.62%,
2/7/09,6 WNC,17,7693,0.22%,
2/7/09,7 CLT AREA,72,16945,0.42%,
2/14/09,1 NENC,54,10159,0.53%,
2/14/09,2 SENC,53,6041,0.88%,
2/14/09,3 FAY AREA,78,11875,0.66%,
2/14/09,4 RTP AREA,77,12414,0.62%,
2/14/09,5 TRIAD AREA,121,14865,0.81%,
2/14/09,6 WNC,43,8462,0.51%,
2/14/09,7 CLT AREA,113,19392,0.58%,
2/21/09,1 NENC,100,10315,0.97%,
2/21/09,2 SENC,44,6027,0.73%,
2/21/09,3 FAY AREA,95,11930,0.80%,
2/21/09,4 RTP AREA,125,12539,1.00%,
2/21/09,5 TRIAD AREA,131,14885,0.88%,
2/21/09,6 WNC,64,8821,0.73%,
2/21/09,7 CLT AREA,171,19710,0.87%,
2/28/09,1 NENC,154,10490,1.47%,
2/28/09,2 SENC,85,6193,1.37%,
2/28/09,3 FAY AREA,163,12410,1.31%,
2/28/09,4 RTP AREA,167,12717,1.31%,
2/28/09,5 TRIAD AREA,158,14946,1.06%,
2/28/09,6 WNC,101,8967,1.13%,
2/28/09,7 CLT AREA,167,19608,0.85%,
3/7/09,1 NENC,129,10512,1.23%,
3/7/09,2 SENC,107,5942,1.80%,
3/7/09,3 FAY AREA,280,12304,2.28%,
3/7/09,4 RTP AREA,141,12290,1.15%,
3/7/09,5 TRIAD AREA,130,14005,0.93%,
3/7/09,6 WNC,114,8684,1.31%,
3/7/09,7 CLT AREA,207,18829,1.10%,
3/14/09,1 NENC,127,10632,1.19%,
3/14/09,2 SENC,69,6261,1.10%,
3/14/09,3 FAY AREA,288,13241,2.18%,
3/14/09,4 RTP AREA,138,12778,1.08%,
3/14/09,5 TRIAD AREA,83,14764,0.56%,
3/14/09,6 WNC,101,9037,1.12%,
3/14/09,7 CLT AREA,169,19744,0.86%,
3/21/09,1 NENC,97,10621,0.91%,
3/21/09,2 SENC,50,5973,0.84%,
3/21/09,3 FAY AREA,211,12388,1.70%,
3/21/09,4 RTP AREA,123,12399,0.99%,
3/21/09,5 TRIAD AREA,45,14443,0.31%,
3/21/09,6 WNC,53,8830,0.60%,
3/21/09,7 CLT AREA,138,19729,0.70%,
3/28/09,1 NENC,75,10269,0.73%,
3/28/09,2 SENC,32,6037,0.53%,
3/28/09,3 FAY AREA,159,11992,1.33%,
3/28/09,4 RTP AREA,83,12323,0.67%,
3/28/09,5 TRIAD AREA,39,14476,0.27%,
3/28/09,6 WNC,30,8689,0.35%,
3/28/09,7 CLT AREA,111,19365,0.57%,
4/4/09,1 NENC,66,10115,0.65%,
4/4/09,2 SENC,21,5764,0.36%,
4/4/09,3 FAY AREA,95,11747,0.81%,
4/4/09,4 RTP AREA,48,12132,0.40%,
4/4/09,5 TRIAD AREA,40,14307,0.28%,
4/4/09,6 WNC,21,8314,0.25%,
4/4/09,7 CLT AREA,82,19274,0.43%,
4/11/09,1 NENC,23,9802,0.23%,
4/11/09,2 SENC,16,5764,0.28%,
4/11/09,3 FAY AREA,47,11609,0.40%,
4/11/09,4 RTP AREA,38,11949,0.32%,
4/11/09,5 TRIAD AREA,29,14352,0.20%,
4/11/09,6 WNC,8,8348,0.10%,
4/11/09,7 CLT AREA,51,19118,0.27%,
4/18/09,1 NENC,10,9659,0.10%,
4/18/09,2 SENC,7,5689,0.12%,
4/18/09,3 FAY AREA,28,11394,0.25%,
4/18/09,4 RTP AREA,23,12268,0.19%,
4/18/09,5 TRIAD AREA,24,14618,0.16%,
4/18/09,6 WNC,4,8466,0.05%,
4/18/09,7 CLT AREA,26,19042,0.14%,
4/25/09,1 NENC,6,10189,0.06%,
4/25/09,2 SENC,8,6024,0.13%,
4/25/09,3 FAY AREA,14,11878,0.12%,
4/25/09,4 RTP AREA,19,12247,0.16%,
4/25/09,5 TRIAD AREA,19,14663,0.13%,
4/25/09,6 WNC,5,8420,0.06%,
4/25/09,7 CLT AREA,17,19235,0.09%,
5/2/09,1 NENC,24,10108,0.24%,
5/2/09,2 SENC,11,6183,0.18%,
5/2/09,3 FAY AREA,25,12115,0.21%,
5/2/09,4 RTP AREA,30,13065,0.23%,
5/2/09,5 TRIAD AREA,38,15421,0.25%,
5/2/09,6 WNC,13,8721,0.15%,
5/2/09,7 CLT AREA,42,20040,0.21%,
5/9/09,1 NENC,30,9969,0.30%,
5/9/09,2 SENC,10,5974,0.17%,
5/9/09,3 FAY AREA,20,12037,0.17%,
5/9/09,4 RTP AREA,19,12838,0.15%,
5/9/09,5 TRIAD AREA,21,15113,0.14%,
5/9/09,6 WNC,6,8686,0.07%,
5/9/09,7 CLT AREA,23,19265,0.12%,
5/16/09,1 NENC,12,10227,0.12%,
5/16/09,2 SENC,8,5975,0.13%,
5/16/09,3 FAY AREA,21,11435,0.18%,
5/16/09,4 RTP AREA,8,12521,0.06%,
5/16/09,5 TRIAD AREA,17,14805,0.11%,
5/16/09,6 WNC,5,8638,0.06%,
5/16/09,7 CLT AREA,20,19720,0.10%,
5/23/09,1 NENC,2,10360,0.02%,
5/23/09,2 SENC,14,5763,0.24%,
5/23/09,3 FAY AREA,13,11394,0.11%,
5/23/09,4 RTP AREA,12,12375,0.10%,
5/23/09,5 TRIAD AREA,15,14920,0.10%,
5/23/09,6 WNC,5,8822,0.06%,
5/23/09,7 CLT AREA,30,19434,0.15%,
5/30/09,1 NENC,11,10978,0.10%,
5/30/09,2 SENC,11,5985,0.18%,
5/30/09,3 FAY AREA,12,12205,0.10%,
5/30/09,4 RTP AREA,9,13081,0.07%,
5/30/09,5 TRIAD AREA,10,15678,0.06%,
5/30/09,6 WNC,1,9385,0.01%,
5/30/09,7 CLT AREA,10,19699,0.05%,
6/6/09,1 NENC,5,10209,0.05%,
6/6/09,2 SENC,15,5955,0.25%,
6/6/09,3 FAY AREA,11,11784,0.09%,
6/6/09,4 RTP AREA,15,12187,0.12%,
6/6/09,5 TRIAD AREA,11,14644,0.08%,
6/6/09,6 WNC,3,8606,0.03%,
6/6/09,7 CLT AREA,7,18958,0.04%,
6/13/09,1 NENC,5,10297,0.05%,
6/13/09,2 SENC,15,5972,0.25%,
6/13/09,3 FAY AREA,19,11743,0.16%,
6/13/09,4 RTP AREA,73,12407,0.59%,
6/13/09,5 TRIAD AREA,25,14573,0.17%,
6/13/09,6 WNC,3,8699,0.03%,
6/13/09,7 CLT AREA,8,19449,0.04%,
6/20/09,1 NENC,12,10495,0.11%,
6/20/09,2 SENC,36,6065,0.59%,
6/20/09,3 FAY AREA,27,11854,0.23%,
6/20/09,4 RTP AREA,59,12363,0.48%,
6/20/09,5 TRIAD AREA,34,14615,0.23%,
6/20/09,6 WNC,4,8800,0.05%,
6/20/09,7 CLT AREA,21,19076,0.11%,
6/27/09,1 NENC,15,10625,0.14%,
6/27/09,2 SENC,19,5933,0.32%,
6/27/09,3 FAY AREA,38,12033,0.32%,
6/27/09,4 RTP AREA,59,12832,0.46%,
6/27/09,5 TRIAD AREA,56,14979,0.37%,
6/27/09,6 WNC,5,8731,0.06%,
6/27/09,7 CLT AREA,21,19452,0.11%,
7/4/09,1 NENC,26,10709,0.24%,
7/4/09,2 SENC,20,5749,0.35%,
7/4/09,3 FAY AREA,35,12031,0.29%,
7/4/09,4 RTP AREA,76,12332,0.62%,
7/4/09,5 TRIAD AREA,80,14668,0.55%,
7/4/09,6 WNC,5,8864,0.06%,
7/4/09,7 CLT AREA,15,19094,0.08%,
7/11/09,1 NENC,9,10225,0.09%,
7/11/09,2 SENC,17,5845,0.29%,
7/11/09,3 FAY AREA,47,11711,0.40%,
7/11/09,4 RTP AREA,49,12142,0.40%,
7/11/09,5 TRIAD AREA,67,14517,0.46%,
7/11/09,6 WNC,4,8564,0.05%,
7/11/09,7 CLT AREA,16,19221,0.08%,
7/18/09,1 NENC,23,10136,0.23%,
7/18/09,2 SENC,11,5609,0.20%,
7/18/09,3 FAY AREA,57,11568,0.49%,
7/18/09,4 RTP AREA,50,11955,0.42%,
7/18/09,5 TRIAD AREA,42,14454,0.29%,
7/18/09,6 WNC,5,8759,0.06%,
7/18/09,7 CLT AREA,18,18915,0.10%,
7/25/09,1 NENC,16,10177,0.16%,
7/25/09,2 SENC,8,5836,0.14%,
7/25/09,3 FAY AREA,65,11619,0.56%,
7/25/09,4 RTP AREA,50,12082,0.41%,
7/25/09,5 TRIAD AREA,46,14292,0.32%,
7/25/09,6 WNC,9,8745,0.10%,
7/25/09,7 CLT AREA,23,19073,0.12%,
8/1/09,1 NENC,36,10238,0.35%,
8/1/09,2 SENC,22,5840,0.38%,
8/1/09,3 FAY AREA,95,11445,0.83%,
8/1/09,4 RTP AREA,69,11909,0.58%,
8/1/09,5 TRIAD AREA,44,14156,0.31%,
8/1/09,6 WNC,17,8807,0.19%,
8/1/09,7 CLT AREA,15,19374,0.08%,
8/8/09,1 NENC,46,10050,0.46%,
8/8/09,2 SENC,19,5759,0.33%,
8/8/09,3 FAY AREA,82,11348,0.72%,
8/8/09,4 RTP AREA,51,11712,0.44%,
8/8/09,5 TRIAD AREA,41,13852,0.30%,
8/8/09,6 WNC,18,8489,0.21%,
8/8/09,7 CLT AREA,27,18574,0.15%,
8/15/09,1 NENC,27,10286,0.26%,
8/15/09,2 SENC,25,5793,0.43%,
8/15/09,3 FAY AREA,95,11473,0.83%,
8/15/09,4 RTP AREA,48,12181,0.39%,
8/15/09,5 TRIAD AREA,57,14375,0.40%,
8/15/09,6 WNC,10,8662,0.12%,
8/15/09,7 CLT AREA,37,19066,0.19%,
8/22/09,1 NENC,27,10289,0.26%,
8/22/09,2 SENC,13,5840,0.22%,
8/22/09,3 FAY AREA,48,11896,0.40%,
8/22/09,4 RTP AREA,61,12123,0.50%,
8/22/09,5 TRIAD AREA,49,14364,0.34%,
8/22/09,6 WNC,4,8466,0.05%,
8/22/09,7 CLT AREA,30,19088,0.16%,
8/29/09,1 NENC,30,10378,0.29%,
8/29/09,2 SENC,26,5816,0.45%,
8/29/09,3 FAY AREA,74,11834,0.63%,
8/29/09,4 RTP AREA,57,12126,0.47%,
8/29/09,5 TRIAD AREA,114,14368,0.79%,
8/29/09,6 WNC,14,8772,0.16%,
8/29/09,7 CLT AREA,28,19310,0.15%,
9/5/09,1 NENC,90,10387,0.87%,
9/5/09,2 SENC,13,6109,0.21%,
9/5/09,3 FAY AREA,167,12251,1.36%,
9/5/09,4 RTP AREA,97,11995,0.81%,
9/5/09,5 TRIAD AREA,128,14613,0.88%,
9/5/09,6 WNC,23,8851,0.26%,
9/5/09,7 CLT AREA,89,19510,0.46%,
9/12/09,1 NENC,157,11388,1.38%,
9/12/09,2 SENC,47,6225,0.76%,
9/12/09,3 FAY AREA,319,13566,2.35%,
9/12/09,4 RTP AREA,189,12885,1.47%,
9/12/09,5 TRIAD AREA,248,16147,1.54%,
9/12/09,6 WNC,54,9672,0.56%,
9/12/09,7 CLT AREA,193,20760,0.93%,
9/19/09,1 NENC,236,11176,2.11%,
9/19/09,2 SENC,67,6457,1.04%,
9/19/09,3 FAY AREA,470,13864,3.39%,
9/19/09,4 RTP AREA,260,13318,1.95%,
9/19/09,5 TRIAD AREA,296,15562,1.90%,
9/19/09,6 WNC,91,9571,0.95%,
9/19/09,7 CLT AREA,294,21492,1.37%,
9/26/09,1 NENC,276,11163,2.47%,
9/26/09,2 SENC,87,6236,1.40%,
9/26/09,3 FAY AREA,563,13197,4.27%,
9/26/09,4 RTP AREA,348,12926,2.69%,
9/26/09,5 TRIAD AREA,394,15725,2.51%,
9/26/09,6 WNC,152,9161,1.66%,
9/26/09,7 CLT AREA,470,20994,2.24%,
10/3/09,1 NENC,382,11217,3.41%,
10/3/09,2 SENC,179,6365,2.81%,
10/3/09,3 FAY AREA,565,13079,4.32%,
10/3/09,4 RTP AREA,455,13271,3.43%,
10/3/09,5 TRIAD AREA,637,15754,4.04%,
10/3/09,6 WNC,244,9213,2.65%,
10/3/09,7 CLT AREA,621,20623,3.01%,
10/10/09,1 NENC,393,11334,3.47%,
10/10/09,2 SENC,220,6650,3.31%,
10/10/09,3 FAY AREA,558,12591,4.43%,
10/10/09,4 RTP AREA,491,12820,3.83%,
10/10/09,5 TRIAD AREA,789,16157,4.88%,
10/10/09,6 WNC,335,9273,3.61%,
10/10/09,7 CLT AREA,732,21126,3.46%,
10/17/09,1 NENC,365,10787,3.38%,
10/17/09,2 SENC,231,6295,3.67%,
10/17/09,3 FAY AREA,448,12186,3.68%,
10/17/09,4 RTP AREA,493,12488,3.95%,
10/17/09,5 TRIAD AREA,772,15966,4.84%,
10/17/09,6 WNC,361,9171,3.94%,
10/17/09,7 CLT AREA,685,20696,3.31%,
10/24/09,1 NENC,421,10960,3.84%,
10/24/09,2 SENC,228,6380,3.57%,
10/24/09,3 FAY AREA,507,12286,4.13%,
10/24/09,4 RTP AREA,663,12579,5.27%,
10/24/09,5 TRIAD AREA,740,15812,4.68%,
10/24/09,6 WNC,398,9042,4.40%,
10/24/09,7 CLT AREA,769,21165,3.63%,
10/31/09,1 NENC,283,10430,2.71%,
10/31/09,2 SENC,184,6188,2.97%,
10/31/09,3 FAY AREA,357,11897,3.00%,
10/31/09,4 RTP AREA,473,12148,3.89%,
10/31/09,5 TRIAD AREA,542,14230,3.81%,
10/31/09,6 WNC,268,8586,3.12%,
10/31/09,7 CLT AREA,572,19895,2.88%,
11/7/09,1 NENC,224,10006,2.24%,
11/7/09,2 SENC,149,5824,2.56%,
11/7/09,3 FAY AREA,228,11535,1.98%,
11/7/09,4 RTP AREA,337,11555,2.92%,
11/7/09,5 TRIAD AREA,374,13495,2.77%,
11/7/09,6 WNC,192,8385,2.29%,
11/7/09,7 CLT AREA,464,18707,2.48%,
11/14/09,1 NENC,158,9354,1.69%,
11/14/09,2 SENC,76,5565,1.37%,
11/14/09,3 FAY AREA,190,11452,1.66%,
11/14/09,4 RTP AREA,237,11432,2.07%,
11/14/09,5 TRIAD AREA,254,13353,1.90%,
11/14/09,6 WNC,131,8258,1.59%,
11/14/09,7 CLT AREA,296,18025,1.64%,
11/21/09,1 NENC,75,9861,0.76%,
11/21/09,2 SENC,46,5833,0.79%,
11/21/09,3 FAY AREA,138,11633,1.19%,
11/21/09,4 RTP AREA,173,11868,1.46%,
11/21/09,5 TRIAD AREA,209,13697,1.53%,
11/21/09,6 WNC,78,8291,0.94%,
11/21/09,7 CLT AREA,224,19126,1.17%,
11/28/09,1 NENC,71,9309,0.76%,
11/28/09,2 SENC,42,5592,0.75%,
11/28/09,3 FAY AREA,85,11200,0.76%,
11/28/09,4 RTP AREA,133,10907,1.22%,
11/28/09,5 TRIAD AREA,104,12928,0.80%,
11/28/09,6 WNC,43,7943,0.54%,
11/28/09,7 CLT AREA,139,17560,0.79%,
12/5/09,1 NENC,56,9800,0.57%,
12/5/09,2 SENC,30,5641,0.53%,
12/5/09,3 FAY AREA,73,11537,0.63%,
12/5/09,4 RTP AREA,111,11309,0.98%,
12/5/09,5 TRIAD AREA,102,13125,0.78%,
12/5/09,6 WNC,38,7769,0.49%,
12/5/09,7 CLT AREA,139,18635,0.75%,
12/12/09,1 NENC,49,9303,0.53%,
12/12/09,2 SENC,22,5477,0.40%,
12/12/09,3 FAY AREA,71,11087,0.64%,
12/12/09,4 RTP AREA,78,11012,0.71%,
12/12/09,5 TRIAD AREA,60,12624,0.48%,
12/12/09,6 WNC,32,7497,0.43%,
12/12/09,7 CLT AREA,74,18055,0.41%,
12/19/09,1 NENC,50,9580,0.52%,
12/19/09,2 SENC,15,5492,0.27%,
12/19/09,3 FAY AREA,46,11195,0.41%,
12/19/09,4 RTP AREA,63,10667,0.59%,
12/19/09,5 TRIAD AREA,52,12128,0.43%,
12/19/09,6 WNC,22,7389,0.30%,
12/19/09,7 CLT AREA,60,17860,0.34%,
12/26/09,1 NENC,55,9251,0.59%,
12/26/09,2 SENC,16,5302,0.30%,
12/26/09,3 FAY AREA,40,10968,0.36%,
12/26/09,4 RTP AREA,78,11096,0.70%,
12/26/09,5 TRIAD AREA,54,12866,0.42%,
12/26/09,6 WNC,19,7897,0.24%,
12/26/09,7 CLT AREA,67,18191,0.37%,
1/2/10,1 NENC,55,10367,0.53%,
1/2/10,2 SENC,19,5982,0.32%,
1/2/10,3 FAY AREA,42,12199,0.34%,
1/2/10,4 RTP AREA,55,11941,0.46%,
1/2/10,5 TRIAD AREA,53,14150,0.37%,
1/2/10,6 WNC,12,8490,0.14%,
1/2/10,7 CLT AREA,61,20015,0.30%,
1/9/10,1 NENC,46,9811,0.47%,
1/9/10,2 SENC,13,5451,0.24%,
1/9/10,3 FAY AREA,31,11362,0.27%,
1/9/10,4 RTP AREA,41,11564,0.35%,
1/9/10,5 TRIAD AREA,52,13554,0.38%,
1/9/10,6 WNC,19,7568,0.25%,
1/9/10,7 CLT AREA,75,18827,0.40%,
1/16/10,1 NENC,28,9877,0.28%,
1/16/10,2 SENC,12,5578,0.22%,
1/16/10,3 FAY AREA,52,11581,0.45%,
1/16/10,4 RTP AREA,22,11731,0.19%,
1/16/10,5 TRIAD AREA,24,13559,0.18%,
1/16/10,6 WNC,11,8035,0.14%,
1/16/10,7 CLT AREA,69,18919,0.36%,
1/23/10,1 NENC,27,10264,0.26%,
1/23/10,2 SENC,8,5794,0.14%,
1/23/10,3 FAY AREA,30,11946,0.25%,
1/23/10,4 RTP AREA,28,12267,0.23%,
1/23/10,5 TRIAD AREA,55,14087,0.39%,
1/23/10,6 WNC,10,8178,0.12%,
1/23/10,7 CLT AREA,73,19166,0.38%,
1/30/10,1 NENC,18,9398,0.19%,
1/30/10,2 SENC,6,5557,0.11%,
1/30/10,3 FAY AREA,33,10777,0.31%,
1/30/10,4 RTP AREA,21,10970,0.19%,
1/30/10,5 TRIAD AREA,32,12550,0.25%,
1/30/10,6 WNC,4,7255,0.06%,
1/30/10,7 CLT AREA,63,17699,0.36%,
2/6/10,1 NENC,10,9316,0.11%,
2/6/10,2 SENC,5,5514,0.09%,
2/6/10,3 FAY AREA,19,11156,0.17%,
2/6/10,4 RTP AREA,14,10550,0.13%,
2/6/10,5 TRIAD AREA,24,12558,0.19%,
2/6/10,6 WNC,4,7633,0.05%,
2/6/10,7 CLT AREA,45,18143,0.25%,
2/13/10,1 NENC,24,9686,0.25%,
2/13/10,2 SENC,7,5689,0.12%,
2/13/10,3 FAY AREA,28,11363,0.25%,
2/13/10,4 RTP AREA,26,11479,0.23%,
2/13/10,5 TRIAD AREA,26,13317,0.20%,
2/13/10,6 WNC,6,7806,0.08%,
2/13/10,7 CLT AREA,51,18695,0.27%,
2/20/10,1 NENC,25,10384,0.24%,
2/20/10,2 SENC,4,5912,0.07%,
2/20/10,3 FAY AREA,33,12319,0.27%,
2/20/10,4 RTP AREA,27,12018,0.22%,
2/20/10,5 TRIAD AREA,24,13858,0.17%,
2/20/10,6 WNC,3,8172,0.04%,
2/20/10,7 CLT AREA,65,19987,0.33%,
2/27/10,1 NENC,26,10728,0.24%,
2/27/10,2 SENC,2,5824,0.03%,
2/27/10,3 FAY AREA,25,12532,0.20%,
2/27/10,4 RTP AREA,25,12471,0.20%,
2/27/10,5 TRIAD AREA,33,14062,0.23%,
2/27/10,6 WNC,9,8448,0.11%,
2/27/10,7 CLT AREA,74,19579,0.38%,
3/6/10,1 NENC,35,10580,0.33%,
3/6/10,2 SENC,4,5792,0.07%,
3/6/10,3 FAY AREA,35,12240,0.29%,
3/6/10,4 RTP AREA,22,11989,0.18%,
3/6/10,5 TRIAD AREA,22,13612,0.16%,
3/6/10,6 WNC,8,8319,0.10%,
3/6/10,7 CLT AREA,51,19338,0.26%,
3/13/10,1 NENC,16,10826,0.15%,
3/13/10,2 SENC,3,5882,0.05%,
3/13/10,3 FAY AREA,19,12477,0.15%,
3/13/10,4 RTP AREA,20,12422,0.16%,
3/13/10,5 TRIAD AREA,23,14254,0.16%,
3/13/10,6 WNC,6,8442,0.07%,
3/13/10,7 CLT AREA,38,20054,0.19%,
3/20/10,1 NENC,19,10598,0.18%,
3/20/10,2 SENC,3,5977,0.05%,
3/20/10,3 FAY AREA,19,12130,0.16%,
3/20/10,4 RTP AREA,20,12378,0.16%,
3/20/10,5 TRIAD AREA,22,14440,0.15%,
3/20/10,6 WNC,10,8372,0.12%,
3/20/10,7 CLT AREA,38,20295,0.19%,
3/27/10,1 NENC,8,10283,0.08%,
3/27/10,2 SENC,3,5800,0.05%,
3/27/10,3 FAY AREA,22,11938,0.18%,
3/27/10,4 RTP AREA,14,12019,0.12%,
3/27/10,5 TRIAD AREA,32,13932,0.23%,
3/27/10,6 WNC,4,8147,0.05%,
3/27/10,7 CLT AREA,32,19350,0.17%,
4/3/10,1 NENC,13,10083,0.13%,
4/3/10,2 SENC,4,5579,0.07%,
4/3/10,3 FAY AREA,13,11580,0.11%,
4/3/10,4 RTP AREA,13,11410,0.11%,
4/3/10,5 TRIAD AREA,25,13791,0.18%,
4/3/10,6 WNC,3,8179,0.04%,
4/3/10,7 CLT AREA,17,19253,0.09%,
4/10/10,1 NENC,10,10433,0.10%,
4/10/10,2 SENC,0,5745,0.00%,
4/10/10,3 FAY AREA,5,11579,0.04%,
4/10/10,4 RTP AREA,5,11627,0.04%,
4/10/10,5 TRIAD AREA,21,14377,0.15%,
4/10/10,6 WNC,1,8161,0.01%,
4/10/10,7 CLT AREA,12,19318,0.06%,
4/17/10,1 NENC,8,10271,0.08%,
4/17/10,2 SENC,2,5798,0.03%,
4/17/10,3 FAY AREA,5,12045,0.04%,
4/17/10,4 RTP AREA,5,12197,0.04%,
4/17/10,5 TRIAD AREA,15,14326,0.10%,
4/17/10,6 WNC,2,8339,0.02%,
4/17/10,7 CLT AREA,7,19646,0.04%,
4/24/10,1 NENC,11,10326,0.11%,
4/24/10,2 SENC,0,5883,0.00%,
4/24/10,3 FAY AREA,6,12155,0.05%,
4/24/10,4 RTP AREA,2,12141,0.02%,
4/24/10,5 TRIAD AREA,14,14365,0.10%,
4/24/10,6 WNC,1,8102,0.01%,
4/24/10,7 CLT AREA,3,19908,0.02%,
5/1/10,1 NENC,5,10505,0.05%,
5/1/10,2 SENC,2,5876,0.03%,
5/1/10,3 FAY AREA,9,12205,0.07%,
5/1/10,4 RTP AREA,3,12437,0.02%,
5/1/10,5 TRIAD AREA,5,14464,0.03%,
5/1/10,6 WNC,1,8262,0.01%,
5/1/10,7 CLT AREA,7,19546,0.04%,
5/8/10,1 NENC,7,10815,0.06%,
5/8/10,2 SENC,1,5924,0.02%,
5/8/10,3 FAY AREA,4,12302,0.03%,
5/8/10,4 RTP AREA,3,12438,0.02%,
5/8/10,5 TRIAD AREA,7,14719,0.05%,
5/8/10,6 WNC,0,8432,0.00%,
5/8/10,7 CLT AREA,13,20376,0.06%,
5/15/10,1 NENC,4,10495,0.04%,
5/15/10,2 SENC,2,5921,0.03%,
5/15/10,3 FAY AREA,7,12222,0.06%,
5/15/10,4 RTP AREA,1,12268,0.01%,
5/15/10,5 TRIAD AREA,7,14695,0.05%,
5/15/10,6 WNC,1,8399,0.01%,
5/15/10,7 CLT AREA,9,19657,0.05%,
5/22/10,1 NENC,1,10483,0.01%,
5/22/10,2 SENC,1,6085,0.02%,
5/22/10,3 FAY AREA,3,12399,0.02%,
5/22/10,4 RTP AREA,4,12663,0.03%,
5/22/10,5 TRIAD AREA,6,15036,0.04%,
5/22/10,6 WNC,3,8655,0.03%,
5/22/10,7 CLT AREA,7,20494,0.03%,
5/29/10,1 NENC,1,10573,0.01%,
5/29/10,2 SENC,2,6053,0.03%,
5/29/10,3 FAY AREA,1,11957,0.01%,
5/29/10,4 RTP AREA,2,12388,0.02%,
5/29/10,5 TRIAD AREA,8,15049,0.05%,
5/29/10,6 WNC,0,8852,0.00%,
5/29/10,7 CLT AREA,5,20551,0.02%,
6/5/10,1 NENC,6,10918,0.05%,
6/5/10,2 SENC,0,6180,0.00%,
6/5/10,3 FAY AREA,2,12451,0.02%,
6/5/10,4 RTP AREA,3,12671,0.02%,
6/5/10,5 TRIAD AREA,3,15419,0.02%,
6/5/10,6 WNC,0,9120,0.00%,
6/5/10,7 CLT AREA,0,20293,0.00%,
6/12/10,1 NENC,1,10683,0.01%,
6/12/10,2 SENC,0,6054,0.00%,
6/12/10,3 FAY AREA,2,12423,0.02%,
6/12/10,4 RTP AREA,1,12383,0.01%,
6/12/10,5 TRIAD AREA,6,15628,0.04%,
6/12/10,6 WNC,0,8785,0.00%,
6/12/10,7 CLT AREA,6,20375,0.03%,
6/19/10,1 NENC,2,10745,0.02%,
6/19/10,2 SENC,0,5999,0.00%,
6/19/10,3 FAY AREA,2,12475,0.02%,
6/19/10,4 RTP AREA,2,12432,0.02%,
6/19/10,5 TRIAD AREA,6,15246,0.04%,
6/19/10,6 WNC,0,8947,0.00%,
6/19/10,7 CLT AREA,2,20055,0.01%,
6/26/10,1 NENC,3,10451,0.03%,
6/26/10,2 SENC,1,6172,0.02%,
6/26/10,3 FAY AREA,2,12506,0.02%,
6/26/10,4 RTP AREA,0,12329,0.00%,
6/26/10,5 TRIAD AREA,2,15150,0.01%,
6/26/10,6 WNC,1,8934,0.01%,
6/26/10,7 CLT AREA,3,20544,0.01%,
7/3/10,1 NENC,2,10164,0.02%,
7/3/10,2 SENC,1,5967,0.02%,
7/3/10,3 FAY AREA,0,11871,0.00%,
7/3/10,4 RTP AREA,1,11888,0.01%,
7/3/10,5 TRIAD AREA,1,14860,0.01%,
7/3/10,6 WNC,1,8766,0.01%,
7/3/10,7 CLT AREA,0,19697,0.00%,
7/10/10,1 NENC,0,10291,0.00%,
7/10/10,2 SENC,0,6060,0.00%,
7/10/10,3 FAY AREA,2,12175,0.02%,
7/10/10,4 RTP AREA,1,12066,0.01%,
7/10/10,5 TRIAD AREA,1,15169,0.01%,
7/10/10,6 WNC,0,8969,0.00%,
7/10/10,7 CLT AREA,4,19798,0.02%,
7/17/10,1 NENC,1,10394,0.01%,
7/17/10,2 SENC,0,5811,0.00%,
7/17/10,3 FAY AREA,2,12285,0.02%,
7/17/10,4 RTP AREA,0,11861,0.00%,
7/17/10,5 TRIAD AREA,6,14367,0.04%,
