reference_date,horizon,target_end_date,location,target,output_type,output_type_id,value
2026-03-07,0,2026-03-07,athens,Flu ED visits pct,quantile,0.025,0.209
2026-03-07,0,2026-03-07,athens,Flu ED visits pct,quantile,0.05,0.317
2026-03-07,0,2026-03-07,athens,Flu ED visits pct,quantile,0.1,0.454
2026-03-07,0,2026-03-07,athens,Flu ED visits pct,quantile,0.25,0.819
2026-03-07,0,2026-03-07,athens,Flu ED visits pct,quantile,0.5,1.314
2026-03-07,0,2026-03-07,athens,Flu ED visits pct,quantile,0.75,1.897
2026-03-07,0,2026-03-07,athens,Flu ED visits pct,quantile,0.9,2.631
2026-03-07,0,2026-03-07,athens,Flu ED visits pct,quantile,0.95,3.303
2026-03-07,0,2026-03-07,athens,Flu ED visits pct,quantile,0.975,3.813
2026-03-07,1,2026-03-14,athens,Flu ED visits pct,quantile,0.025,0.0
2026-03-07,1,2026-03-14,athens,Flu ED visits pct,quantile,0.05,0.215
2026-03-07,1,2026-03-14,athens,Flu ED visits pct,quantile,0.1,0.365
2026-03-07,1,2026-03-14,athens,Flu ED visits pct,quantile,0.25,0.685
2026-03-07,1,2026-03-14,athens,Flu ED visits pct,quantile,0.5,1.126
2026-03-07,1,2026-03-14,athens,Flu ED visits pct,quantile,0.75,1.81
2026-03-07,1,2026-03-14,athens,Flu ED visits pct,quantile,0.9,2.628
2026-03-07,1,2026-03-14,athens,Flu ED visits pct,quantile,0.95,3.447
2026-03-07,1,2026-03-14,athens,Flu ED visits pct,quantile,0.975,4.134
2026-03-07,2,2026-03-21,athens,Flu ED visits pct,quantile,0.025,0.0
2026-03-07,2,2026-03-21,athens,Flu ED visits pct,quantile,0.05,0.0
2026-03-07,2,2026-03-21,athens,Flu ED visits pct,quantile,0.1,0.225
2026-03-07,2,2026-03-21,athens,Flu ED visits pct,quantile,0.25,0.475
2026-03-07,2,2026-03-21,athens,Flu ED visits pct,quantile,0.5,0.906
2026-03-07,2,2026-03-21,athens,Flu ED visits pct,quantile,0.75,1.638
2026-03-07,2,2026-03-21,athens,Flu ED visits pct,quantile,0.9,2.467
2026-03-07,2,2026-03-21,athens,Flu ED visits pct,quantile,0.95,3.237
2026-03-07,2,2026-03-21,athens,Flu ED visits pct,quantile,0.975,4.316
2026-03-07,3,2026-03-28,athens,Flu ED visits pct,quantile,0.025,0.0
2026-03-07,3,2026-03-28,athens,Flu ED visits pct,quantile,0.05,0.0
2026-03-07,3,2026-03-28,athens,Flu ED visits pct,quantile,0.1,0.118
2026-03-07,3,2026-03-28,athens,Flu ED visits pct,quantile,0.25,0.306
2026-03-07,3,2026-03-28,athens,Flu ED visits pct,quantile,0.5,0.671
2026-03-07,3,2026-03-28,athens,Flu ED visits pct,quantile,0.75,1.297
2026-03-07,3,2026-03-28,athens,Flu ED visits pct,quantile,0.9,2.425
2026-03-07,3,2026-03-28,athens,Flu ED visits pct,quantile,0.95,3.564
2026-03-07,3,2026-03-28,athens,Flu ED visits pct,quantile,0.975,4.513
2026-03-07,0,2026-03-07,austin,Flu ED visits pct,quantile,0.025,0.987
2026-03-07,0,2026-03-07,austin,Flu ED visits pct,quantile,0.05,1.129
2026-03-07,0,2026-03-07,austin,Flu ED visits pct,quantile,0.1,1.297
2026-03-07,0,2026-03-07,austin,Flu ED visits pct,quantile,0.25,1.616
2026-03-07,0,2026-03-07,austin,Flu ED visits pct,quantile,0.5,2.012
2026-03-07,0,2026-03-07,austin,Flu ED visits pct,quantile,0.75,2.458
2026-03-07,0,2026-03-07,austin,Flu ED visits pct,quantile,0.9,2.908
2026-03-07,0,2026-03-07,austin,Flu ED visits pct,quantile,0.95,3.245
2026-03-07,0,2026-03-07,austin,Flu ED visits pct,quantile,0.975,3.482
2026-03-07,1,2026-03-14,austin,Flu ED visits pct,quantile,0.025,0.607
2026-03-07,1,2026-03-14,austin,Flu ED visits pct,quantile,0.05,0.707
2026-03-07,1,2026-03-14,austin,Flu ED visits pct,quantile,0.1,0.847
2026-03-07,1,2026-03-14,austin,Flu ED visits pct,quantile,0.25,1.133
2026-03-07,1,2026-03-14,austin,Flu ED visits pct,quantile,0.5,1.481
2026-03-07,1,2026-03-14,austin,Flu ED visits pct,quantile,0.75,1.927
2026-03-07,1,2026-03-14,austin,Flu ED visits pct,quantile,0.9,2.422
2026-03-07,1,2026-03-14,austin,Flu ED visits pct,quantile,0.95,2.736
2026-03-07,1,2026-03-14,austin,Flu ED visits pct,quantile,0.975,2.972
2026-03-07,2,2026-03-21,austin,Flu ED visits pct,quantile,0.025,0.331
2026-03-07,2,2026-03-21,austin,Flu ED visits pct,quantile,0.05,0.428
2026-03-07,2,2026-03-21,austin,Flu ED visits pct,quantile,0.1,0.527
2026-03-07,2,2026-03-21,austin,Flu ED visits pct,quantile,0.25,0.721
2026-03-07,2,2026-03-21,austin,Flu ED visits pct,quantile,0.5,1.061
2026-03-07,2,2026-03-21,austin,Flu ED visits pct,quantile,0.75,1.483
2026-03-07,2,2026-03-21,austin,Flu ED visits pct,quantile,0.9,1.898
2026-03-07,2,2026-03-21,austin,Flu ED visits pct,quantile,0.95,2.227
2026-03-07,2,2026-03-21,austin,Flu ED visits pct,quantile,0.975,2.47
2026-03-07,3,2026-03-28,austin,Flu ED visits pct,quantile,0.025,0.155
2026-03-07,3,2026-03-28,austin,Flu ED visits pct,quantile,0.05,0.191
2026-03-07,3,2026-03-28,austin,Flu ED visits pct,quantile,0.1,0.248
2026-03-07,3,2026-03-28,austin,Flu ED visits pct,quantile,0.25,0.406
2026-03-07,3,2026-03-28,austin,Flu ED visits pct,quantile,0.5,0.639
2026-03-07,3,2026-03-28,austin,Flu ED visits pct,quantile,0.75,0.948
2026-03-07,3,2026-03-28,austin,Flu ED visits pct,quantile,0.9,1.353
2026-03-07,3,2026-03-28,austin,Flu ED visits pct,quantile,0.95,1.598
2026-03-07,3,2026-03-28,austin,Flu ED visits pct,quantile,0.975,1.944
2026-03-07,0,2026-03-07,baltimore,Flu ED visits pct,quantile,0.025,0.04
2026-03-07,0,2026-03-07,baltimore,Flu ED visits pct,quantile,0.05,0.052
2026-03-07,0,2026-03-07,baltimore,Flu ED visits pct,quantile,0.1,0.071
2026-03-07,0,2026-03-07,baltimore,Flu ED visits pct,quantile,0.25,0.118
2026-03-07,0,2026-03-07,baltimore,Flu ED visits pct,quantile,0.5,0.192
2026-03-07,0,2026-03-07,baltimore,Flu ED visits pct,quantile,0.75,0.283
2026-03-07,0,2026-03-07,baltimore,Flu ED visits pct,quantile,0.9,0.379
2026-03-07,0,2026-03-07,baltimore,Flu ED visits pct,quantile,0.95,0.442
2026-03-07,0,2026-03-07,baltimore,Flu ED visits pct,quantile,0.975,0.493
2026-03-07,1,2026-03-14,baltimore,Flu ED visits pct,quantile,0.025,0.018
2026-03-07,1,2026-03-14,baltimore,Flu ED visits pct,quantile,0.05,0.029
2026-03-07,1,2026-03-14,baltimore,Flu ED visits pct,quantile,0.1,0.045
2026-03-07,1,2026-03-14,baltimore,Flu ED visits pct,quantile,0.25,0.087
2026-03-07,1,2026-03-14,baltimore,Flu ED visits pct,quantile,0.5,0.146
2026-03-07,1,2026-03-14,baltimore,Flu ED visits pct,quantile,0.75,0.229
2026-03-07,1,2026-03-14,baltimore,Flu ED visits pct,quantile,0.9,0.338
2026-03-07,1,2026-03-14,baltimore,Flu ED visits pct,quantile,0.95,0.416
