reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-04-04,Flu ED visits pct,0,2026-04-04,colorado,quantile,0.025,0.4550351836459741
2026-04-04,Flu ED visits pct,0,2026-04-04,colorado,quantile,0.05,0.6293226983640914
2026-04-04,Flu ED visits pct,0,2026-04-04,colorado,quantile,0.1,0.8149077387840665
2026-04-04,Flu ED visits pct,0,2026-04-04,colorado,quantile,0.25,1.2060766160042478
2026-04-04,Flu ED visits pct,0,2026-04-04,colorado,quantile,0.5,1.5466267541560197
2026-04-04,Flu ED visits pct,0,2026-04-04,colorado,quantile,0.75,1.9134391156223547
2026-04-04,Flu ED visits pct,0,2026-04-04,colorado,quantile,0.9,2.2736749255220126
2026-04-04,Flu ED visits pct,0,2026-04-04,colorado,quantile,0.95,2.5041871322187794
2026-04-04,Flu ED visits pct,0,2026-04-04,colorado,quantile,0.975,2.7834885458492566
2026-04-04,Flu ED visits pct,1,2026-04-11,colorado,quantile,0.025,0.3801748441655058
2026-04-04,Flu ED visits pct,1,2026-04-11,colorado,quantile,0.05,0.50876129490831
2026-04-04,Flu ED visits pct,1,2026-04-11,colorado,quantile,0.1,0.6618925344345681
2026-04-04,Flu ED visits pct,1,2026-04-11,colorado,quantile,0.25,1.0089637224743702
2026-04-04,Flu ED visits pct,1,2026-04-11,colorado,quantile,0.5,1.369058643733082
2026-04-04,Flu ED visits pct,1,2026-04-11,colorado,quantile,0.75,1.7471101963920046
2026-04-04,Flu ED visits pct,1,2026-04-11,colorado,quantile,0.9,2.1869879182520533
2026-04-04,Flu ED visits pct,1,2026-04-11,colorado,quantile,0.95,2.5320511442215334
2026-04-04,Flu ED visits pct,1,2026-04-11,colorado,quantile,0.975,2.9890108518912957
2026-04-04,Flu ED visits pct,2,2026-04-18,colorado,quantile,0.025,0.17861431209575893
2026-04-04,Flu ED visits pct,2,2026-04-18,colorado,quantile,0.05,0.3260766457145639
2026-04-04,Flu ED visits pct,2,2026-04-18,colorado,quantile,0.1,0.4944982040692087
2026-04-04,Flu ED visits pct,2,2026-04-18,colorado,quantile,0.25,0.8630779603541736
2026-04-04,Flu ED visits pct,2,2026-04-18,colorado,quantile,0.5,1.250633718555548
2026-04-04,Flu ED visits pct,2,2026-04-18,colorado,quantile,0.75,1.6616982893716
2026-04-04,Flu ED visits pct,2,2026-04-18,colorado,quantile,0.9,2.1744578108957344
2026-04-04,Flu ED visits pct,2,2026-04-18,colorado,quantile,0.95,2.5783136434672635
2026-04-04,Flu ED visits pct,2,2026-04-18,colorado,quantile,0.975,3.080790812493478
2026-04-04,Flu ED visits pct,3,2026-04-25,colorado,quantile,0.025,0.06796671565815271
2026-04-04,Flu ED visits pct,3,2026-04-25,colorado,quantile,0.05,0.20445323118200515
2026-04-04,Flu ED visits pct,3,2026-04-25,colorado,quantile,0.1,0.3871243378661067
2026-04-04,Flu ED visits pct,3,2026-04-25,colorado,quantile,0.25,0.7343552665332733
2026-04-04,Flu ED visits pct,3,2026-04-25,colorado,quantile,0.5,1.1110098148521244
2026-04-04,Flu ED visits pct,3,2026-04-25,colorado,quantile,0.75,1.5806084386293109
2026-04-04,Flu ED visits pct,3,2026-04-25,colorado,quantile,0.9,2.0710751680499464
2026-04-04,Flu ED visits pct,3,2026-04-25,colorado,quantile,0.95,2.5471376207193805
2026-04-04,Flu ED visits pct,3,2026-04-25,colorado,quantile,0.975,3.1293558792180534
2026-04-04,Flu ED visits pct,0,2026-04-04,mesa,quantile,0.025,0
2026-04-04,Flu ED visits pct,0,2026-04-04,mesa,quantile,0.05,0
2026-04-04,Flu ED visits pct,0,2026-04-04,mesa,quantile,0.1,0
2026-04-04,Flu ED visits pct,0,2026-04-04,mesa,quantile,0.25,0
2026-04-04,Flu ED visits pct,0,2026-04-04,mesa,quantile,0.5,0
2026-04-04,Flu ED visits pct,0,2026-04-04,mesa,quantile,0.75,0.25661060886832043
2026-04-04,Flu ED visits pct,0,2026-04-04,mesa,quantile,0.9,0.5025566993515056
2026-04-04,Flu ED visits pct,0,2026-04-04,mesa,quantile,0.95,0.6407204241334561
2026-04-04,Flu ED visits pct,0,2026-04-04,mesa,quantile,0.975,0.7543807749937614
2026-04-04,Flu ED visits pct,1,2026-04-11,mesa,quantile,0.025,0
2026-04-04,Flu ED visits pct,1,2026-04-11,mesa,quantile,0.05,0
2026-04-04,Flu ED visits pct,1,2026-04-11,mesa,quantile,0.1,0
2026-04-04,Flu ED visits pct,1,2026-04-11,mesa,quantile,0.25,0
2026-04-04,Flu ED visits pct,1,2026-04-11,mesa,quantile,0.5,0
2026-04-04,Flu ED visits pct,1,2026-04-11,mesa,quantile,0.75,0.15914223422368196
2026-04-04,Flu ED visits pct,1,2026-04-11,mesa,quantile,0.9,0.4181972029473144
2026-04-04,Flu ED visits pct,1,2026-04-11,mesa,quantile,0.95,0.6009808132235154
2026-04-04,Flu ED visits pct,1,2026-04-11,mesa,quantile,0.975,0.722724281960727
2026-04-04,Flu ED visits pct,2,2026-04-18,mesa,quantile,0.025,0
2026-04-04,Flu ED visits pct,2,2026-04-18,mesa,quantile,0.05,0
2026-04-04,Flu ED visits pct,2,2026-04-18,mesa,quantile,0.1,0
2026-04-04,Flu ED visits pct,2,2026-04-18,mesa,quantile,0.25,0
2026-04-04,Flu ED visits pct,2,2026-04-18,mesa,quantile,0.5,0
2026-04-04,Flu ED visits pct,2,2026-04-18,mesa,quantile,0.75,0.12299263917599074
2026-04-04,Flu ED visits pct,2,2026-04-18,mesa,quantile,0.9,0.36608517524837825
2026-04-04,Flu ED visits pct,2,2026-04-18,mesa,quantile,0.95,0.5338864042354163
2026-04-04,Flu ED visits pct,2,2026-04-18,mesa,quantile,0.975,0.7254058715850991
2026-04-04,Flu ED visits pct,3,2026-04-25,mesa,quantile,0.025,0
2026-04-04,Flu ED visits pct,3,2026-04-25,mesa,quantile,0.05,0
2026-04-04,Flu ED visits pct,3,2026-04-25,mesa,quantile,0.1,0
2026-04-04,Flu ED visits pct,3,2026-04-25,mesa,quantile,0.25,0
2026-04-04,Flu ED visits pct,3,2026-04-25,mesa,quantile,0.5,0
2026-04-04,Flu ED visits pct,3,2026-04-25,mesa,quantile,0.75,0.078484732860921
2026-04-04,Flu ED visits pct,3,2026-04-25,mesa,quantile,0.9,0.30822987987907974
2026-04-04,Flu ED visits pct,3,2026-04-25,mesa,quantile,0.95,0.44260709625935224
2026-04-04,Flu ED visits pct,3,2026-04-25,mesa,quantile,0.975,0.5231886595700223
2026-04-04,Flu ED visits pct,0,2026-04-04,colorado-springs,quantile,0.025,0.7187290597204766
2026-04-04,Flu ED visits pct,0,2026-04-04,colorado-springs,quantile,0.05,0.8899509802628963
2026-04-04,Flu ED visits pct,0,2026-04-04,colorado-springs,quantile,0.1,1.123828810570042
2026-04-04,Flu ED visits pct,0,2026-04-04,colorado-springs,quantile,0.25,1.4787578644187591
2026-04-04,Flu ED visits pct,0,2026-04-04,colorado-springs,quantile,0.5,1.8102834859303352
2026-04-04,Flu ED visits pct,0,2026-04-04,colorado-springs,quantile,0.75,2.142257737277636
2026-04-04,Flu ED visits pct,0,2026-04-04,colorado-springs,quantile,0.9,2.508443368546412
2026-04-04,Flu ED visits pct,0,2026-04-04,colorado-springs,quantile,0.95,2.722735157610459
2026-04-04,Flu ED visits pct,0,2026-04-04,colorado-springs,quantile,0.975,2.9387511488206424
2026-04-04,Flu ED visits pct,1,2026-04-11,colorado-springs,quantile,0.025,0.4716899557136439
