reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-04-11,Flu ED visits pct,0,2026-04-11,colorado,quantile,0.025,0.2624449418656378
2026-04-11,Flu ED visits pct,0,2026-04-11,colorado,quantile,0.05,0.3773324241739874
2026-04-11,Flu ED visits pct,0,2026-04-11,colorado,quantile,0.1,0.5085239524478328
2026-04-11,Flu ED visits pct,0,2026-04-11,colorado,quantile,0.25,0.7700672941858042
2026-04-11,Flu ED visits pct,0,2026-04-11,colorado,quantile,0.5,1.0987963520894066
2026-04-11,Flu ED visits pct,0,2026-04-11,colorado,quantile,0.75,1.4169980719283064
2026-04-11,Flu ED visits pct,0,2026-04-11,colorado,quantile,0.9,1.7261222542143573
2026-04-11,Flu ED visits pct,0,2026-04-11,colorado,quantile,0.95,1.9246093323485447
2026-04-11,Flu ED visits pct,0,2026-04-11,colorado,quantile,0.975,2.129108878614512
2026-04-11,Flu ED visits pct,1,2026-04-18,colorado,quantile,0.025,0.056926295530926006
2026-04-11,Flu ED visits pct,1,2026-04-18,colorado,quantile,0.05,0.21008355212522323
2026-04-11,Flu ED visits pct,1,2026-04-18,colorado,quantile,0.1,0.36073652143299456
2026-04-11,Flu ED visits pct,1,2026-04-18,colorado,quantile,0.25,0.611054815397484
2026-04-11,Flu ED visits pct,1,2026-04-18,colorado,quantile,0.5,0.9434395152319506
2026-04-11,Flu ED visits pct,1,2026-04-18,colorado,quantile,0.75,1.2395645061200096
2026-04-11,Flu ED visits pct,1,2026-04-18,colorado,quantile,0.9,1.6162925005189583
2026-04-11,Flu ED visits pct,1,2026-04-18,colorado,quantile,0.95,1.814164701568063
2026-04-11,Flu ED visits pct,1,2026-04-18,colorado,quantile,0.975,2.0293283305246392
2026-04-11,Flu ED visits pct,2,2026-04-25,colorado,quantile,0.025,0
2026-04-11,Flu ED visits pct,2,2026-04-25,colorado,quantile,0.05,0.06119199952103996
2026-04-11,Flu ED visits pct,2,2026-04-25,colorado,quantile,0.1,0.25379851281774957
2026-04-11,Flu ED visits pct,2,2026-04-25,colorado,quantile,0.25,0.5430406631587117
2026-04-11,Flu ED visits pct,2,2026-04-25,colorado,quantile,0.5,0.8811040559570702
2026-04-11,Flu ED visits pct,2,2026-04-25,colorado,quantile,0.75,1.2547406719963328
2026-04-11,Flu ED visits pct,2,2026-04-25,colorado,quantile,0.9,1.6172511118759323
2026-04-11,Flu ED visits pct,2,2026-04-25,colorado,quantile,0.95,1.830546968803587
2026-04-11,Flu ED visits pct,2,2026-04-25,colorado,quantile,0.975,2.0881403745082623
2026-04-11,Flu ED visits pct,3,2026-05-02,colorado,quantile,0.025,0
2026-04-11,Flu ED visits pct,3,2026-05-02,colorado,quantile,0.05,0
2026-04-11,Flu ED visits pct,3,2026-05-02,colorado,quantile,0.1,0.1285419096859052
2026-04-11,Flu ED visits pct,3,2026-05-02,colorado,quantile,0.25,0.4465091592361308
2026-04-11,Flu ED visits pct,3,2026-05-02,colorado,quantile,0.5,0.8066251909731934
2026-04-11,Flu ED visits pct,3,2026-05-02,colorado,quantile,0.75,1.1702853709476628
