reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-05-16,Flu ED visits pct,0,2026-05-16,colorado,quantile,0.025,0
2026-05-16,Flu ED visits pct,0,2026-05-16,colorado,quantile,0.05,0
2026-05-16,Flu ED visits pct,0,2026-05-16,colorado,quantile,0.1,0
2026-05-16,Flu ED visits pct,0,2026-05-16,colorado,quantile,0.25,0.029782548163742983
2026-05-16,Flu ED visits pct,0,2026-05-16,colorado,quantile,0.5,0.32505940945695133
2026-05-16,Flu ED visits pct,0,2026-05-16,colorado,quantile,0.75,0.574053223619518
2026-05-16,Flu ED visits pct,0,2026-05-16,colorado,quantile,0.9,0.8475089429276125
2026-05-16,Flu ED visits pct,0,2026-05-16,colorado,quantile,0.95,1.0029101002840073
2026-05-16,Flu ED visits pct,0,2026-05-16,colorado,quantile,0.975,1.1210071115641365
2026-05-16,Flu ED visits pct,1,2026-05-23,colorado,quantile,0.025,0
2026-05-16,Flu ED visits pct,1,2026-05-23,colorado,quantile,0.05,0
2026-05-16,Flu ED visits pct,1,2026-05-23,colorado,quantile,0.1,0
2026-05-16,Flu ED visits pct,1,2026-05-23,colorado,quantile,0.25,0.01300674334869828
2026-05-16,Flu ED visits pct,1,2026-05-23,colorado,quantile,0.5,0.312375031971708
2026-05-16,Flu ED visits pct,1,2026-05-23,colorado,quantile,0.75,0.5876463784834497
2026-05-16,Flu ED visits pct,1,2026-05-23,colorado,quantile,0.9,0.8627843517520697
2026-05-16,Flu ED visits pct,1,2026-05-23,colorado,quantile,0.95,1.037453398700418
2026-05-16,Flu ED visits pct,1,2026-05-23,colorado,quantile,0.975,1.1614548855755833
2026-05-16,Flu ED visits pct,2,2026-05-30,colorado,quantile,0.025,0
2026-05-16,Flu ED visits pct,2,2026-05-30,colorado,quantile,0.05,0
2026-05-16,Flu ED visits pct,2,2026-05-30,colorado,quantile,0.1,0
2026-05-16,Flu ED visits pct,2,2026-05-30,colorado,quantile,0.25,0.0010034762476680559
2026-05-16,Flu ED visits pct,2,2026-05-30,colorado,quantile,0.5,0.326913885088541
2026-05-16,Flu ED visits pct,2,2026-05-30,colorado,quantile,0.75,0.6008373205279134
2026-05-16,Flu ED visits pct,2,2026-05-30,colorado,quantile,0.9,0.8547873114017184
2026-05-16,Flu ED visits pct,2,2026-05-30,colorado,quantile,0.95,1.0170318766433086
2026-05-16,Flu ED visits pct,2,2026-05-30,colorado,quantile,0.975,1.0988074719033396
2026-05-16,Flu ED visits pct,3,2026-06-06,colorado,quantile,0.025,0
2026-05-16,Flu ED visits pct,3,2026-06-06,colorado,quantile,0.05,0
2026-05-16,Flu ED visits pct,3,2026-06-06,colorado,quantile,0.1,0
2026-05-16,Flu ED visits pct,3,2026-06-06,colorado,quantile,0.25,0
2026-05-16,Flu ED visits pct,3,2026-06-06,colorado,quantile,0.5,0.26948853733500633
2026-05-16,Flu ED visits pct,3,2026-06-06,colorado,quantile,0.75,0.5886436969119243
2026-05-16,Flu ED visits pct,3,2026-06-06,colorado,quantile,0.9,0.8449897898379484
2026-05-16,Flu ED visits pct,3,2026-06-06,colorado,quantile,0.95,1.0302839630280665
2026-05-16,Flu ED visits pct,3,2026-06-06,colorado,quantile,0.975,1.2136591173919506
2026-05-16,Flu ED visits pct,0,2026-05-16,mesa,quantile,0.025,0
2026-05-16,Flu ED visits pct,0,2026-05-16,mesa,quantile,0.05,0
2026-05-16,Flu ED visits pct,0,2026-05-16,mesa,quantile,0.1,0
2026-05-16,Flu ED visits pct,0,2026-05-16,mesa,quantile,0.25,0
2026-05-16,Flu ED visits pct,0,2026-05-16,mesa,quantile,0.5,0.1677074989573475
2026-05-16,Flu ED visits pct,0,2026-05-16,mesa,quantile,0.75,0.4305324881688298
2026-05-16,Flu ED visits pct,0,2026-05-16,mesa,quantile,0.9,0.6423310913752628
2026-05-16,Flu ED visits pct,0,2026-05-16,mesa,quantile,0.95,0.801729417452659
2026-05-16,Flu ED visits pct,0,2026-05-16,mesa,quantile,0.975,0.943220732343473
2026-05-16,Flu ED visits pct,1,2026-05-23,mesa,quantile,0.025,0
2026-05-16,Flu ED visits pct,1,2026-05-23,mesa,quantile,0.05,0
2026-05-16,Flu ED visits pct,1,2026-05-23,mesa,quantile,0.1,0
2026-05-16,Flu ED visits pct,1,2026-05-23,mesa,quantile,0.25,0
2026-05-16,Flu ED visits pct,1,2026-05-23,mesa,quantile,0.5,0.08536893513756894
2026-05-16,Flu ED visits pct,1,2026-05-23,mesa,quantile,0.75,0.35731592175491395
2026-05-16,Flu ED visits pct,1,2026-05-23,mesa,quantile,0.9,0.6028732788564698
2026-05-16,Flu ED visits pct,1,2026-05-23,mesa,quantile,0.95,0.7290867465805626
2026-05-16,Flu ED visits pct,1,2026-05-23,mesa,quantile,0.975,0.8837826417927006
2026-05-16,Flu ED visits pct,2,2026-05-30,mesa,quantile,0.025,0
2026-05-16,Flu ED visits pct,2,2026-05-30,mesa,quantile,0.05,0
2026-05-16,Flu ED visits pct,2,2026-05-30,mesa,quantile,0.1,0
2026-05-16,Flu ED visits pct,2,2026-05-30,mesa,quantile,0.25,0
2026-05-16,Flu ED visits pct,2,2026-05-30,mesa,quantile,0.5,0.11199602604836856
2026-05-16,Flu ED visits pct,2,2026-05-30,mesa,quantile,0.75,0.39083438460870795
2026-05-16,Flu ED visits pct,2,2026-05-30,mesa,quantile,0.9,0.6389446582706707
2026-05-16,Flu ED visits pct,2,2026-05-30,mesa,quantile,0.95,0.7751744352139276
2026-05-16,Flu ED visits pct,2,2026-05-30,mesa,quantile,0.975,0.9087034561783821
2026-05-16,Flu ED visits pct,3,2026-06-06,mesa,quantile,0.025,0
2026-05-16,Flu ED visits pct,3,2026-06-06,mesa,quantile,0.05,0
2026-05-16,Flu ED visits pct,3,2026-06-06,mesa,quantile,0.1,0
2026-05-16,Flu ED visits pct,3,2026-06-06,mesa,quantile,0.25,0
2026-05-16,Flu ED visits pct,3,2026-06-06,mesa,quantile,0.5,0.052853748330569994
2026-05-16,Flu ED visits pct,3,2026-06-06,mesa,quantile,0.75,0.3506388809493768
2026-05-16,Flu ED visits pct,3,2026-06-06,mesa,quantile,0.9,0.6253373552709258
2026-05-16,Flu ED visits pct,3,2026-06-06,mesa,quantile,0.95,0.7785630064450331
2026-05-16,Flu ED visits pct,3,2026-06-06,mesa,quantile,0.975,0.9368089667441669
2026-05-16,Flu ED visits pct,0,2026-05-16,colorado-springs,quantile,0.025,0
2026-05-16,Flu ED visits pct,0,2026-05-16,colorado-springs,quantile,0.05,0
2026-05-16,Flu ED visits pct,0,2026-05-16,colorado-springs,quantile,0.1,0
2026-05-16,Flu ED visits pct,0,2026-05-16,colorado-springs,quantile,0.25,0.17500108680277532
2026-05-16,Flu ED visits pct,0,2026-05-16,colorado-springs,quantile,0.5,0.45222694798676466
2026-05-16,Flu ED visits pct,0,2026-05-16,colorado-springs,quantile,0.75,0.729141812711601
2026-05-16,Flu ED visits pct,0,2026-05-16,colorado-springs,quantile,0.9,0.9756110959227878
2026-05-16,Flu ED visits pct,0,2026-05-16,colorado-springs,quantile,0.95,1.1393374022090041
2026-05-16,Flu ED visits pct,0,2026-05-16,colorado-springs,quantile,0.975,1.244411951894885
2026-05-16,Flu ED visits pct,1,2026-05-23,colorado-springs,quantile,0.025,0
