reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-03-14,Flu ED visits pct,0,2026-03-14,colorado,quantile,0.025,1.0778341937864382
2026-03-14,Flu ED visits pct,0,2026-03-14,colorado,quantile,0.05,1.3350406100570826
2026-03-14,Flu ED visits pct,0,2026-03-14,colorado,quantile,0.1,1.5181849810666999
2026-03-14,Flu ED visits pct,0,2026-03-14,colorado,quantile,0.25,1.9087871311344173
2026-03-14,Flu ED visits pct,0,2026-03-14,colorado,quantile,0.5,2.334463128840252
2026-03-14,Flu ED visits pct,0,2026-03-14,colorado,quantile,0.75,2.7034525671715532
2026-03-14,Flu ED visits pct,0,2026-03-14,colorado,quantile,0.9,3.0324453522926462
2026-03-14,Flu ED visits pct,0,2026-03-14,colorado,quantile,0.95,3.217422108322244
2026-03-14,Flu ED visits pct,0,2026-03-14,colorado,quantile,0.975,3.427478342801283
2026-03-14,Flu ED visits pct,1,2026-03-21,colorado,quantile,0.025,0.7558470591843908
2026-03-14,Flu ED visits pct,1,2026-03-21,colorado,quantile,0.05,1.0054523899385772
2026-03-14,Flu ED visits pct,1,2026-03-21,colorado,quantile,0.1,1.235453641052766
2026-03-14,Flu ED visits pct,1,2026-03-21,colorado,quantile,0.25,1.7331047823463632
2026-03-14,Flu ED visits pct,1,2026-03-21,colorado,quantile,0.5,2.301639985766726
2026-03-14,Flu ED visits pct,1,2026-03-21,colorado,quantile,0.75,2.724404099141329
2026-03-14,Flu ED visits pct,1,2026-03-21,colorado,quantile,0.9,3.133114538212232
2026-03-14,Flu ED visits pct,1,2026-03-21,colorado,quantile,0.95,3.3506297145589516
2026-03-14,Flu ED visits pct,1,2026-03-21,colorado,quantile,0.975,3.522507805256844
2026-03-14,Flu ED visits pct,2,2026-03-28,colorado,quantile,0.025,0.606002790942527
2026-03-14,Flu ED visits pct,2,2026-03-28,colorado,quantile,0.05,0.7157197074258466
2026-03-14,Flu ED visits pct,2,2026-03-28,colorado,quantile,0.1,0.991073959927158
2026-03-14,Flu ED visits pct,2,2026-03-28,colorado,quantile,0.25,1.6312987641396244
2026-03-14,Flu ED visits pct,2,2026-03-28,colorado,quantile,0.5,2.2244230147978623
2026-03-14,Flu ED visits pct,2,2026-03-28,colorado,quantile,0.75,2.667709921556182
2026-03-14,Flu ED visits pct,2,2026-03-28,colorado,quantile,0.9,3.048814596713441
2026-03-14,Flu ED visits pct,2,2026-03-28,colorado,quantile,0.95,3.3163950255559516
2026-03-14,Flu ED visits pct,2,2026-03-28,colorado,quantile,0.975,3.6100530902645898
2026-03-14,Flu ED visits pct,3,2026-04-04,colorado,quantile,0.025,0.3053321210641806
2026-03-14,Flu ED visits pct,3,2026-04-04,colorado,quantile,0.05,0.5474097044844367
2026-03-14,Flu ED visits pct,3,2026-04-04,colorado,quantile,0.1,0.8393344751148076
2026-03-14,Flu ED visits pct,3,2026-04-04,colorado,quantile,0.25,1.4647976816777408
2026-03-14,Flu ED visits pct,3,2026-04-04,colorado,quantile,0.5,2.06011217127367
2026-03-14,Flu ED visits pct,3,2026-04-04,colorado,quantile,0.75,2.5167250242856944
2026-03-14,Flu ED visits pct,3,2026-04-04,colorado,quantile,0.9,2.984138432267628
2026-03-14,Flu ED visits pct,3,2026-04-04,colorado,quantile,0.95,3.2532094596290175
2026-03-14,Flu ED visits pct,3,2026-04-04,colorado,quantile,0.975,3.66166118025101
2026-03-14,Flu ED visits pct,0,2026-03-14,mesa,quantile,0.025,0.09279666481116006
2026-03-14,Flu ED visits pct,0,2026-03-14,mesa,quantile,0.05,0.20458573866411023
2026-03-14,Flu ED visits pct,0,2026-03-14,mesa,quantile,0.1,0.3309317663983754
2026-03-14,Flu ED visits pct,0,2026-03-14,mesa,quantile,0.25,0.594295056104682
2026-03-14,Flu ED visits pct,0,2026-03-14,mesa,quantile,0.5,0.9171122920202045
2026-03-14,Flu ED visits pct,0,2026-03-14,mesa,quantile,0.75,1.2451072990469927
2026-03-14,Flu ED visits pct,0,2026-03-14,mesa,quantile,0.9,1.5781820164815348
2026-03-14,Flu ED visits pct,0,2026-03-14,mesa,quantile,0.95,1.815659867193444
2026-03-14,Flu ED visits pct,0,2026-03-14,mesa,quantile,0.975,2.0027283312797555
2026-03-14,Flu ED visits pct,1,2026-03-21,mesa,quantile,0.025,0
2026-03-14,Flu ED visits pct,1,2026-03-21,mesa,quantile,0.05,0
2026-03-14,Flu ED visits pct,1,2026-03-21,mesa,quantile,0.1,0.1448920270132043
2026-03-14,Flu ED visits pct,1,2026-03-21,mesa,quantile,0.25,0.41148549153715824
2026-03-14,Flu ED visits pct,1,2026-03-21,mesa,quantile,0.5,0.7537665969949513
2026-03-14,Flu ED visits pct,1,2026-03-21,mesa,quantile,0.75,1.154749953028293
2026-03-14,Flu ED visits pct,1,2026-03-21,mesa,quantile,0.9,1.5452686550698018
2026-03-14,Flu ED visits pct,1,2026-03-21,mesa,quantile,0.95,1.7480675587215704
2026-03-14,Flu ED visits pct,1,2026-03-21,mesa,quantile,0.975,1.9229394170659475
2026-03-14,Flu ED visits pct,2,2026-03-28,mesa,quantile,0.025,0
2026-03-14,Flu ED visits pct,2,2026-03-28,mesa,quantile,0.05,0
2026-03-14,Flu ED visits pct,2,2026-03-28,mesa,quantile,0.1,0
2026-03-14,Flu ED visits pct,2,2026-03-28,mesa,quantile,0.25,0.22885274825008867
2026-03-14,Flu ED visits pct,2,2026-03-28,mesa,quantile,0.5,0.6272134177451749
2026-03-14,Flu ED visits pct,2,2026-03-28,mesa,quantile,0.75,1.0586790418704894
2026-03-14,Flu ED visits pct,2,2026-03-28,mesa,quantile,0.9,1.4978993588132672
2026-03-14,Flu ED visits pct,2,2026-03-28,mesa,quantile,0.95,1.8598135987491813
2026-03-14,Flu ED visits pct,2,2026-03-28,mesa,quantile,0.975,2.09872178851233
2026-03-14,Flu ED visits pct,3,2026-04-04,mesa,quantile,0.025,0
2026-03-14,Flu ED visits pct,3,2026-04-04,mesa,quantile,0.05,0
2026-03-14,Flu ED visits pct,3,2026-04-04,mesa,quantile,0.1,0
2026-03-14,Flu ED visits pct,3,2026-04-04,mesa,quantile,0.25,0.09805999489825229
2026-03-14,Flu ED visits pct,3,2026-04-04,mesa,quantile,0.5,0.4784354176365493
2026-03-14,Flu ED visits pct,3,2026-04-04,mesa,quantile,0.75,0.936778877364475
2026-03-14,Flu ED visits pct,3,2026-04-04,mesa,quantile,0.9,1.4790112847157104
2026-03-14,Flu ED visits pct,3,2026-04-04,mesa,quantile,0.95,1.8113443418397341
2026-03-14,Flu ED visits pct,3,2026-04-04,mesa,quantile,0.975,2.1737969260521113
2026-03-14,Flu ED visits pct,0,2026-03-14,colorado-springs,quantile,0.025,0.7476773677855558
2026-03-14,Flu ED visits pct,0,2026-03-14,colorado-springs,quantile,0.05,0.9278360293393074
2026-03-14,Flu ED visits pct,0,2026-03-14,colorado-springs,quantile,0.1,1.0987334118200276
2026-03-14,Flu ED visits pct,0,2026-03-14,colorado-springs,quantile,0.25,1.4105299484887768
2026-03-14,Flu ED visits pct,0,2026-03-14,colorado-springs,quantile,0.5,1.789900574753303
2026-03-14,Flu ED visits pct,0,2026-03-14,colorado-springs,quantile,0.75,2.1931653965633817
2026-03-14,Flu ED visits pct,0,2026-03-14,colorado-springs,quantile,0.9,2.5589705299456273
2026-03-14,Flu ED visits pct,0,2026-03-14,colorado-springs,quantile,0.95,2.733294560283823
2026-03-14,Flu ED visits pct,0,2026-03-14,colorado-springs,quantile,0.975,2.876787982765321
2026-03-14,Flu ED visits pct,1,2026-03-21,colorado-springs,quantile,0.025,0.35496801523635496
2026-03-14,Flu ED visits pct,1,2026-03-21,colorado-springs,quantile,0.05,0.5622216677389364
2026-03-14,Flu ED visits pct,1,2026-03-21,colorado-springs,quantile,0.1,0.8016155854483878
2026-03-14,Flu ED visits pct,1,2026-03-21,colorado-springs,quantile,0.25,1.1892070516310183
2026-03-14,Flu ED visits pct,1,2026-03-21,colorado-springs,quantile,0.5,1.616742505656929
2026-03-14,Flu ED visits pct,1,2026-03-21,colorado-springs,quantile,0.75,2.090057749193501
2026-03-14,Flu ED visits pct,1,2026-03-21,colorado-springs,quantile,0.9,2.527578649208861
2026-03-14,Flu ED visits pct,1,2026-03-21,colorado-springs,quantile,0.95,2.8147912046147563
2026-03-14,Flu ED visits pct,1,2026-03-21,colorado-springs,quantile,0.975,3.0026069404655447
2026-03-14,Flu ED visits pct,2,2026-03-28,colorado-springs,quantile,0.025,0.2408651247280035
2026-03-14,Flu ED visits pct,2,2026-03-28,colorado-springs,quantile,0.05,0.36666767345567275
2026-03-14,Flu ED visits pct,2,2026-03-28,colorado-springs,quantile,0.1,0.5615958132423561
2026-03-14,Flu ED visits pct,2,2026-03-28,colorado-springs,quantile,0.25,0.9673427501026391
2026-03-14,Flu ED visits pct,2,2026-03-28,colorado-springs,quantile,0.5,1.4372470521762915
