"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
"2026-03-28","nyc",0,"ILI ED visits pct","2026-03-28","quantile",0.025,2.7303796031984
"2026-03-28","nyc",1,"ILI ED visits pct","2026-04-04","quantile",0.025,2.72025503264406
"2026-03-28","nyc",2,"ILI ED visits pct","2026-04-11","quantile",0.025,2.61423159446793
"2026-03-28","nyc",3,"ILI ED visits pct","2026-04-18","quantile",0.025,2.53529643921064
"2026-03-28","nyc",0,"ILI ED visits pct","2026-03-28","quantile",0.05,2.84853084540476
"2026-03-28","nyc",1,"ILI ED visits pct","2026-04-04","quantile",0.05,2.80982208060668
"2026-03-28","nyc",2,"ILI ED visits pct","2026-04-11","quantile",0.05,2.71829254428274
"2026-03-28","nyc",3,"ILI ED visits pct","2026-04-18","quantile",0.05,2.63158770244275
"2026-03-28","nyc",0,"ILI ED visits pct","2026-03-28","quantile",0.1,2.97427700120121
"2026-03-28","nyc",1,"ILI ED visits pct","2026-04-04","quantile",0.1,2.89939703466068
"2026-03-28","nyc",2,"ILI ED visits pct","2026-04-11","quantile",0.1,2.77310085785021
"2026-03-28","nyc",3,"ILI ED visits pct","2026-04-18","quantile",0.1,2.65895594718983
"2026-03-28","nyc",0,"ILI ED visits pct","2026-03-28","quantile",0.25,2.99940451635269
"2026-03-28","nyc",1,"ILI ED visits pct","2026-04-04","quantile",0.25,2.93648779894594
"2026-03-28","nyc",2,"ILI ED visits pct","2026-04-11","quantile",0.25,2.79936852769502
"2026-03-28","nyc",3,"ILI ED visits pct","2026-04-18","quantile",0.25,2.706170125117
"2026-03-28","nyc",0,"ILI ED visits pct","2026-03-28","quantile",0.5,3.09046039729713
"2026-03-28","nyc",1,"ILI ED visits pct","2026-04-04","quantile",0.5,2.98669073782868
"2026-03-28","nyc",2,"ILI ED visits pct","2026-04-11","quantile",0.5,2.85187692366832
"2026-03-28","nyc",3,"ILI ED visits pct","2026-04-18","quantile",0.5,2.78957575693686
"2026-03-28","nyc",0,"ILI ED visits pct","2026-03-28","quantile",0.75,3.10304132043548
"2026-03-28","nyc",1,"ILI ED visits pct","2026-04-04","quantile",0.75,3.0041236587751
"2026-03-28","nyc",2,"ILI ED visits pct","2026-04-11","quantile",0.75,2.90997107957051
"2026-03-28","nyc",3,"ILI ED visits pct","2026-04-18","quantile",0.75,2.91586951695298
"2026-03-28","nyc",0,"ILI ED visits pct","2026-03-28","quantile",0.9,3.16821547019043
"2026-03-28","nyc",1,"ILI ED visits pct","2026-04-04","quantile",0.9,3.14817044124406
"2026-03-28","nyc",2,"ILI ED visits pct","2026-04-11","quantile",0.9,3.1636180302453
"2026-03-28","nyc",3,"ILI ED visits pct","2026-04-18","quantile",0.9,3.21153226305335
"2026-03-28","nyc",0,"ILI ED visits pct","2026-03-28","quantile",0.95,3.32976507167568
"2026-03-28","nyc",1,"ILI ED visits pct","2026-04-04","quantile",0.95,3.34233323763871
"2026-03-28","nyc",2,"ILI ED visits pct","2026-04-11","quantile",0.95,3.47092688907231
"2026-03-28","nyc",3,"ILI ED visits pct","2026-04-18","quantile",0.95,3.71806442841268
"2026-03-28","nyc",0,"ILI ED visits pct","2026-03-28","quantile",0.975,3.73957502273486
"2026-03-28","nyc",1,"ILI ED visits pct","2026-04-04","quantile",0.975,3.75727682492393
"2026-03-28","nyc",2,"ILI ED visits pct","2026-04-11","quantile",0.975,3.79165607662982
"2026-03-28","nyc",3,"ILI ED visits pct","2026-04-18","quantile",0.975,4.09831448106446
"2026-03-28","denver",0,"Flu ED visits pct","2026-03-28","quantile",0.025,0.584455473697444
"2026-03-28","mesa",0,"Flu ED visits pct","2026-03-28","quantile",0.025,0.0813874036283014
"2026-03-28","colorado-springs",0,"Flu ED visits pct","2026-03-28","quantile",0.025,0.620882311757454
"2026-03-28","weld",0,"Flu ED visits pct","2026-03-28","quantile",0.025,0.400595363190038
"2026-03-28","boulder",0,"Flu ED visits pct","2026-03-28","quantile",0.025,0.919916098365228
"2026-03-28","larimer",0,"Flu ED visits pct","2026-03-28","quantile",0.025,0.287650570223953
"2026-03-28","colorado",0,"Flu ED visits pct","2026-03-28","quantile",0.025,0.578618688122763
"2026-03-28","denver",1,"Flu ED visits pct","2026-04-04","quantile",0.025,0.561277486829756
"2026-03-28","mesa",1,"Flu ED visits pct","2026-04-04","quantile",0.025,0.0813874036283014
"2026-03-28","colorado-springs",1,"Flu ED visits pct","2026-04-04","quantile",0.025,0.597337436405404
"2026-03-28","weld",1,"Flu ED visits pct","2026-04-04","quantile",0.025,0.37620517610266
"2026-03-28","boulder",1,"Flu ED visits pct","2026-04-04","quantile",0.025,0.848111315062603
"2026-03-28","larimer",1,"Flu ED visits pct","2026-04-04","quantile",0.025,0.262584017595563
"2026-03-28","colorado",1,"Flu ED visits pct","2026-04-04","quantile",0.025,0.554903763759523
"2026-03-28","denver",2,"Flu ED visits pct","2026-04-11","quantile",0.025,0.503513421409934
"2026-03-28","mesa",2,"Flu ED visits pct","2026-04-11","quantile",0.025,0.0826327910859978
"2026-03-28","colorado-springs",2,"Flu ED visits pct","2026-04-11","quantile",0.025,0.546124006552351
"2026-03-28","weld",2,"Flu ED visits pct","2026-04-11","quantile",0.025,0.325347242745565
"2026-03-28","boulder",2,"Flu ED visits pct","2026-04-11","quantile",0.025,0.741967179769218
"2026-03-28","larimer",2,"Flu ED visits pct","2026-04-11","quantile",0.025,0.230512544845219
"2026-03-28","colorado",2,"Flu ED visits pct","2026-04-11","quantile",0.025,0.48486974687677
"2026-03-28","denver",3,"Flu ED visits pct","2026-04-18","quantile",0.025,0.422605582640116
"2026-03-28","mesa",3,"Flu ED visits pct","2026-04-18","quantile",0.025,0.0644264444125495
"2026-03-28","colorado-springs",3,"Flu ED visits pct","2026-04-18","quantile",0.025,0.467166761852346
"2026-03-28","weld",3,"Flu ED visits pct","2026-04-18","quantile",0.025,0.249426884500905
"2026-03-28","boulder",3,"Flu ED visits pct","2026-04-18","quantile",0.025,0.688234766393961
"2026-03-28","larimer",3,"Flu ED visits pct","2026-04-18","quantile",0.025,0.179947804200136
"2026-03-28","colorado",3,"Flu ED visits pct","2026-04-18","quantile",0.025,0.403547359202102
"2026-03-28","denver",0,"Flu ED visits pct","2026-03-28","quantile",0.05,0.978637084423312
"2026-03-28","mesa",0,"Flu ED visits pct","2026-03-28","quantile",0.05,0.293243834340426
"2026-03-28","colorado-springs",0,"Flu ED visits pct","2026-03-28","quantile",0.05,1.03911088949834
"2026-03-28","weld",0,"Flu ED visits pct","2026-03-28","quantile",0.05,0.801296950907729
"2026-03-28","boulder",0,"Flu ED visits pct","2026-03-28","quantile",0.05,1.11450931301286
"2026-03-28","larimer",0,"Flu ED visits pct","2026-03-28","quantile",0.05,0.550144539682788
"2026-03-28","colorado",0,"Flu ED visits pct","2026-03-28","quantile",0.05,0.943492482992569
"2026-03-28","denver",1,"Flu ED visits pct","2026-04-04","quantile",0.05,0.89366758360874
"2026-03-28","mesa",1,"Flu ED visits pct","2026-04-04","quantile",0.05,0.26082594154786
"2026-03-28","colorado-springs",1,"Flu ED visits pct","2026-04-04","quantile",0.05,0.872941952408889
"2026-03-28","weld",1,"Flu ED visits pct","2026-04-04","quantile",0.05,0.618381120985721
"2026-03-28","boulder",1,"Flu ED visits pct","2026-04-04","quantile",0.05,0.989268368779113
"2026-03-28","larimer",1,"Flu ED visits pct","2026-04-04","quantile",0.05,0.492735709101158
