"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
"2026-03-14","nyc",0,"ILI ED visits pct","2026-03-14","quantile",0.025,2.22249713022711
"2026-03-14","nyc",1,"ILI ED visits pct","2026-03-21","quantile",0.025,2.22111846748154
"2026-03-14","nyc",2,"ILI ED visits pct","2026-03-28","quantile",0.025,2.16375214918324
"2026-03-14","nyc",3,"ILI ED visits pct","2026-04-04","quantile",0.025,2.1176481379909
"2026-03-14","nyc",0,"ILI ED visits pct","2026-03-14","quantile",0.05,2.37281474517095
"2026-03-14","nyc",1,"ILI ED visits pct","2026-03-21","quantile",0.05,2.29894936771658
"2026-03-14","nyc",2,"ILI ED visits pct","2026-03-28","quantile",0.05,2.29268465354021
"2026-03-14","nyc",3,"ILI ED visits pct","2026-04-04","quantile",0.05,2.21972790672224
"2026-03-14","nyc",0,"ILI ED visits pct","2026-03-14","quantile",0.1,2.40816508006972
"2026-03-14","nyc",1,"ILI ED visits pct","2026-03-21","quantile",0.1,2.3624792606648
"2026-03-14","nyc",2,"ILI ED visits pct","2026-03-28","quantile",0.1,2.36357534723143
"2026-03-14","nyc",3,"ILI ED visits pct","2026-04-04","quantile",0.1,2.38801655510777
"2026-03-14","nyc",0,"ILI ED visits pct","2026-03-14","quantile",0.25,2.4292709644969
"2026-03-14","nyc",1,"ILI ED visits pct","2026-03-21","quantile",0.25,2.39190876892144
"2026-03-14","nyc",2,"ILI ED visits pct","2026-03-28","quantile",0.25,2.39832765418722
"2026-03-14","nyc",3,"ILI ED visits pct","2026-04-04","quantile",0.25,2.40104800666091
"2026-03-14","nyc",0,"ILI ED visits pct","2026-03-14","quantile",0.5,2.47520545689108
"2026-03-14","nyc",1,"ILI ED visits pct","2026-03-21","quantile",0.5,2.44586061322847
"2026-03-14","nyc",2,"ILI ED visits pct","2026-03-28","quantile",0.5,2.46783448060641
"2026-03-14","nyc",3,"ILI ED visits pct","2026-04-04","quantile",0.5,2.46073279727964
"2026-03-14","nyc",0,"ILI ED visits pct","2026-03-14","quantile",0.75,2.51217385822118
"2026-03-14","nyc",1,"ILI ED visits pct","2026-03-21","quantile",0.75,2.47907069112379
"2026-03-14","nyc",2,"ILI ED visits pct","2026-03-28","quantile",0.75,2.48024763631052
"2026-03-14","nyc",3,"ILI ED visits pct","2026-04-04","quantile",0.75,2.51102748712147
"2026-03-14","nyc",0,"ILI ED visits pct","2026-03-14","quantile",0.9,2.5973773605597
"2026-03-14","nyc",1,"ILI ED visits pct","2026-03-21","quantile",0.9,2.61345495630215
