location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.1747350455692171
austin,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.19847381569867045
baltimore,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.452606617023566
bangor,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.5102807539928308
beaumont,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.05550322607680656
boston,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.6365861834032723
boulder,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.17232925109816452
charleston,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.17657052381251578
cherokee,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.40613717088430334
clt-area,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.9631579770376756
colorado,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.455701097299499
colorado-springs,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.41729244671021787
columbia,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.08496359294840582
columbus,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.12603551199653892
dallas,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.14624620712882372
denver,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.627560548826414
deschutes,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.20985298640580577
duluth,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.6536536043311243
el-paso,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.5883100607936526
eugene,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.05156754114184891
fay-area,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.807634140805025
florence,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.059744814485655794
floyd,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.077791162926769
frederick,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.14074983932683974
georgia,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.3001674508885544
greenville,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.12071267394819148
hall,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.07833573495844988
harford,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.07804335866418384
henry,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.19481483833346416
horry,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.10750413510303884
houston,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.2390225129702451
indiana,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.2581993450412882
indianapolis,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.1452319311374149
la-grange,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.09005424435259346
larimer,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.12129356525972355
lynn,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.3150964029806746
macon,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.09506025781335123
maine,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.7102411584841286
marietta,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.0928532964527881
maryland,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.5587085275166804
massachusetts,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.7130412655603948
medford,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.007801446178159121
mesa,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.055765185724913895
minneapolis,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.4752485604276861
minnesota,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.6237870864081293
montgomery,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.36110039939571703
nenc,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.19765609892895994
new-bedford,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.7018868780782687
north-carolina,2026-04-11,0,2026-04-11,Flu ED visits pct,quantile,0.025,0.4943579238920488
