location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.2041367303405041
austin,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.20993779938323012
baltimore,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.5145902009624952
bangor,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.5626450386261771
beaumont,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.18125692048261727
boston,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.6163500331408875
boulder,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.39686496355046835
charleston,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.17488830924758628
cherokee,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.3912667308144116
clt-area,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.9213424408725268
colorado,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.6690630181976903
colorado-springs,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.8783685173269432
columbia,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.07948620577090294
columbus,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.2299349710352906
dallas,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.2098878016064167
denver,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.7251916493760026
deschutes,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.21368347936146065
duluth,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.8177935758395529
el-paso,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.4311078296939864
eugene,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.07203226359991823
fay-area,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.8146662469214564
florence,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.04285893671724665
floyd,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.2063756003259331
frederick,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.6506952900081217
georgia,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.348993184761624
greenville,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.16030917842921447
hall,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.1389747718485079
harford,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.09058223481374408
henry,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.14433302400365366
horry,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.1644359797479277
houston,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.24814740790807044
indiana,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.3437734513887986
indianapolis,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.23084796312327865
la-grange,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.12717343598331707
larimer,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.375519532307031
lynn,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.40964130338889104
macon,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.13426260919621444
maine,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.592973045849564
marietta,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.11130262431980407
maryland,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.5923989157999566
massachusetts,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.7045889993807072
medford,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.014133458294026622
mesa,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.014179632436273662
minneapolis,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.7820208618941383
minnesota,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.6689918394107908
montgomery,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.4248124940319497
nenc,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.25166688851653235
new-bedford,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.5328127264377547
north-carolina,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.5283488503656402
nyc,2026-04-04,0,2026-04-04,ILI ED visits pct,quantile,0.025,1.8661164117513023
ogden,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.15876783445906828
oregon,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.45469469575310395
pittsfield,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.041621032566103694
portland,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.3395194919865189
portland-or,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.37027526902700897
provo,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.061602061926512276
roanoke,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.4576637173413234
rochester,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.2416214504375086
rock-hill,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.22577553980735038
rtp-area,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.31447808998377197
salem,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.32384874001772984
salt-lake-city,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.19500922810688165
san-antonio,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.17663897468175538
savannah,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.08976025353899367
senc,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.5014491046500076
south-augusta,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.2666013334791404
south-carolina,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.29897419117957724
springfield,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.8412802039342496
st-cloud,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.4642756007976149
st-paul,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.47711513873968914
texas,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.3387249644819893
triad-area,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.4231973995034001
utah,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.2950494916829214
virginia,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.5846035643358777
weld,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.28874909916687563
wnc,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.3068970390604073
worcester,2026-04-04,0,2026-04-04,Flu ED visits pct,quantile,0.025,0.575267143439439
athens,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.16299242584279527
austin,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.18183149596963477
baltimore,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.4569692109328396
bangor,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.4635344615483797
beaumont,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.1628594261642751
boston,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.5291521635591313
boulder,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.3044963627699952
charleston,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.14245420160871958
cherokee,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.3202420333072105
clt-area,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.6776885787324142
colorado,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.5368264881559368
colorado-springs,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.7185482268435162
columbia,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.06514079034547132
columbus,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.19689437587620356
dallas,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.1765942300399776
denver,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.5920772800432027
deschutes,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.19130744338823852
duluth,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.6428248401969251
el-paso,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.365742618778362
eugene,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.06209893847391972
fay-area,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.627486359118694
florence,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.031713005411226895
floyd,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.17219001104278822
frederick,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.5430993131344382
georgia,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.2988730067550077
greenville,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.12173831623717733
hall,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.11843262227156391
harford,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.07861646967894997
henry,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.12357075891632267
horry,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.14529952570544685
houston,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.22314284985578328
indiana,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.29847689856943027
indianapolis,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.1800679964754341
la-grange,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.10386841669808654
larimer,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.2841368144638821
lynn,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.35376514391505587
macon,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.11182447343805121
maine,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.5322688036645563
marietta,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.0925561688544119
maryland,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.5330717752386909
massachusetts,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.6259426503963997
medford,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.010157491000366338
mesa,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.009027309842311112
minneapolis,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.6168231273965044
minnesota,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.5704670529659075
montgomery,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.37524259687357747
nenc,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.18756769118103922
new-bedford,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.4594908053574711
north-carolina,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.4299002122917504
nyc,2026-04-04,1,2026-04-11,ILI ED visits pct,quantile,0.025,1.7243232916028641
ogden,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.1314030328818619
oregon,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.39476171055915427
pittsfield,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.028260888677406518
portland,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.29557268720814966
portland-or,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.3050593046769304
provo,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.05100993581955214
roanoke,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.35733115893899886
rochester,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.18758823694135734
rock-hill,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.18714842900597137
rtp-area,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.24776077104252014
salem,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.2596076116310267
salt-lake-city,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.1679611252505022
san-antonio,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.1547627626466622
savannah,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.07681648012422264
senc,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.401122039619871
south-augusta,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.21945259340052226
south-carolina,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.24778912469842823
springfield,2026-04-04,1,2026-04-11,Flu ED visits pct,quantile,0.025,0.6772960378706077
