location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.019161664786210793
austin,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.09102523554165075
baltimore,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.06726130743911812
bangor,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.025564448434259403
beaumont,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.045492928364723864
boston,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.11477529536130832
boulder,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.11942980332935009
charleston,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.06461366671008911
cherokee,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.023921762882573222
clt-area,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.6113774190244704
colorado,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.26834191130259816
colorado-springs,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.24524823046838928
columbia,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.04400518738625678
columbus,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.005564620227190379
dallas,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.11078700783504009
denver,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.2942376147849829
deschutes,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.05734260254684851
duluth,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.0917544514877593
el-paso,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.8293145321344986
eugene,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.016679904249503795
fay-area,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.5932751654703197
florence,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.012713906638071896
floyd,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.027891798748730955
frederick,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.010518857062767699
georgia,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.08441051692748196
greenville,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.025806746781890745
hall,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.016464148676284138
harford,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.003438060134520039
henry,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.03911126757053087
horry,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.03318510228716575
houston,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.19274765024482793
indiana,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.05507342581415944
indianapolis,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.021079683944610406
la-grange,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.014739082299335087
larimer,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.07978018636140718
lynn,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.06583380344543073
macon,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.06105189152341963
maine,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.15919354514967124
marietta,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.011017198692770533
maryland,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.08846862501720838
massachusetts,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.11750453427615577
medford,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.002464746588619617
mesa,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.0
minneapolis,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.23443352958378866
minnesota,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.18397063809691275
montgomery,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.0939140621079115
nenc,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.04792386181941924
new-bedford,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.13795505529091412
north-carolina,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.3427827237236388
nyc,2026-05-09,0,2026-05-09,ILI ED visits pct,quantile,0.025,1.3398110131688477
ogden,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.021828588678794565
oregon,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.1784523493043757
pittsfield,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.011419223287875807
portland,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.09786454925738967
portland-or,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.24225305451138757
provo,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.025456118476012785
roanoke,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.0777714703872635
rochester,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.004662923226746251
rock-hill,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.0
rtp-area,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.04117562172552502
salem,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.0446459064419558
salt-lake-city,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.0829543711085034
san-antonio,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.07197942630804031
savannah,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,2.1396810382835404e-05
senc,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.031015332255992283
south-augusta,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.03471548834971006
south-carolina,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.06453661367715123
springfield,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.12699936063703945
st-cloud,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.06599702576017698
st-paul,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.18442038197392446
texas,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.19166062924753463
triad-area,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.18360861245321633
utah,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.07969021751203176
virginia,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.10803924876538878
weld,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.09169811695537189
wnc,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.11712600172854738
worcester,2026-05-09,0,2026-05-09,Flu ED visits pct,quantile,0.025,0.05673699343150813
athens,2026-05-09,1,2026-05-16,Flu ED visits pct,quantile,0.025,0.010344221178839133
austin,2026-05-09,1,2026-05-16,Flu ED visits pct,quantile,0.025,0.07862715695461164
baltimore,2026-05-09,1,2026-05-16,Flu ED visits pct,quantile,0.025,0.05235934065511245
